,r2
116,"[0.19026279484167996, 0.16807575757259485, 0.2165589047310974, 0.21766841543481263, 0.16272080119248278, 0.14219991133667353, 0.10496506071247036, 0.12653261669939697, 0.19454918165740576, 0.17800235490542238]"
117,"[0.1252136519892515, 0.10175777122133378, 0.19131046856457168, 0.1490023331279704, 0.1441758032852326, 0.2283201702299461, 0.23082807196843247, 0.1670105467911165, 0.1426362958489732, 0.2388899056549456]"
118,"[0.22160131598389732, 0.15834441165440816, 0.16101100888545816, 0.13496109320573757, 0.12603849457476257, 0.19777303801145718, 0.16356082622075696, 0.18533227290601384, 0.16901063091780488, 0.1787384813189169]"
119,"[0.16712608568264542, 0.12303973682784652, 0.21467010941138032, 0.19892048920108907, 0.15994962614578123, 0.14468048298778924, 0.13849436461052178, 0.08733352779356951, 0.20844060473306392, 0.24989888008813355]"
120,"[0.1735364606751869, 0.17144648107991578, 0.180078221747363, 0.07489701516836689, 0.1356839532852464, 0.18477078303522576, 0.12908473579836688, 0.22475498836042884, 0.25085766263627274, 0.18663863223094979]"
121,"[0.09865317157287878, 0.17846790216206043, 0.2198679094170839, 0.23855119902782562, 0.17861520734489855, 0.1652129734029807, 0.22216711577932668, 0.13370902806843388, 0.09383264229516708, 0.18073403294484724]"
122,"[0.202599104126022, 0.16188736242065538, 0.21043704327810642, 0.16922015285440273, 0.1304935625800817, 0.18095605106335955, 0.1685944996392682, 0.18450752179287733, 0.1775014077537681, 0.1347621400030895]"
123,"[0.1174730397199667, 0.20379549214552495, 0.14831727900838476, 0.15641848418339088, 0.1183864311186541, 0.17698800033347706, 0.212238075687871, 0.20862196571140712, 0.2225534404333953, 0.15322695710881384]"
124,"[0.14668180161133537, 0.2044675269794991, 0.1468756264602522, 0.1795242102987391, 0.1716479894424171, 0.18313385856095987, 0.19875528501051654, 0.12853353971139836, 0.17831088244691817, 0.16553681199765446]"
125,"[0.15070048875944808, 0.154148927912229, 0.1291485068543028, 0.17236332181076386, 0.18277014910990474, 0.10934118267374349, 0.22997576246872842, 0.1890143997535163, 0.14501693836515928, 0.21153067714478535]"
126,"[0.19929388508153623, 0.22864185600721942, 0.1761865144641468, 0.1590945217447607, 0.14657876119733315, 0.15390375140804458, 0.21205653907446065, 0.16616438658594013, 0.10425926481368941, 0.17826468791279038]"
127,"[0.1316559892237681, 0.12629755038166546, 0.259899961745615, 0.19282418884473618, 0.14176567128572115, 0.1634272769987969, 0.14938550612969959, 0.19166076729446668, 0.16554587782047314, 0.17498301294309115]"
128,"[0.1924396678111, 0.16537239250799818, 0.08643778525572154, 0.17967552882731685, 0.128779359427608, 0.16182890636689895, 0.1520486758933246, 0.15741470554744563, 0.2527222798412988, 0.23438687757823262]"
129,"[0.1711572913821825, 0.12594666854456193, 0.128836061488949, 0.19620358484410472, 0.1530411651956618, 0.14985085043237711, 0.2113564331586062, 0.2445862884456399, 0.1586010677815043, 0.17121833445544365]"
130,"[0.16476332474757371, 0.15731426344053068, 0.18014245681078833, 0.21381137667418315, 0.16092568867863843, 0.15833131825420754, 0.15906099844806143, 0.1504802887346517, 0.22588887353369314, 0.15121914213078813]"
131,"[0.08153130782645446, 0.17117401226995888, 0.23996330807536814, 0.21491242334764316, 0.1480071111759499, 0.16783788428219437, 0.19553446264905072, 0.20798417247672363, 0.12005075194246839, 0.13937421423963803]"
132,"[0.18235486166696024, 0.1602321483091943, 0.19248720781747852, 0.13970277889046157, 0.2095630791154769, 0.17737134001348964, 0.19094099584364077, 0.17436949200744822, 0.11882358241448499, 0.1493169687767265]"
