,roc_auc
161,"[0.7171216251763637, 0.7310113884463327, 0.6945064787028636, 0.7298424440770221, 0.7453589588899423]"
162,"[0.706234824835241, 0.7071498788751185, 0.7236592933982819, 0.7520445966727248, 0.7324789426096888]"
163,"[0.6967052873233374, 0.7410670667876336, 0.7381505471152107, 0.7264214641080314, 0.7173281062908722]"
164,"[0.7018557856847821, 0.7255045819980884, 0.7021153846153846, 0.7327723210018163, 0.7503974239962868]"
165,"[0.7298464893884741, 0.7305921898945155, 0.7222190708491689, 0.7074363452523209, 0.7193473112489215]"
166,"[0.736122557953266, 0.7167728111421939, 0.7337525481118059, 0.7315462043897665, 0.6953373284807096]"
167,"[0.735589086164842, 0.7371144982010873, 0.7339416759749697, 0.7210922462581517, 0.690706131330293]"
168,"[0.7099182446448579, 0.7132208133227378, 0.7228114823165037, 0.7227135531135532, 0.7582138046815655]"
169,"[0.7613196594427245, 0.7367881401743953, 0.7228952975571082, 0.704817908569831, 0.6851655144270008]"
170,"[0.7438767275868338, 0.7291743150842092, 0.7309927574633457, 0.7315159754468359, 0.6835050935797204]"
171,"[0.7203353906673902, 0.7354035955598456, 0.7265522025667707, 0.7269589895919684, 0.7136187138373887]"
172,"[0.7365604897529714, 0.7177215117671888, 0.7307483954542777, 0.7105129810128469, 0.7204167414923229]"
173,"[0.7206444174200356, 0.7004367562698525, 0.7342508396821495, 0.7388824641074099, 0.7295729375776695]"
174,"[0.7285432491314845, 0.7235505533534553, 0.6815491276090067, 0.7292866612134374, 0.7565424360595214]"
175,"[0.7316523592720027, 0.7402763325239912, 0.712015819401244, 0.7194965261254402, 0.7174994574199904]"
176,"[0.7034695980762624, 0.7226018493398445, 0.7294240868590312, 0.717848501221575, 0.7326498422712935]"
177,"[0.7068389409180252, 0.7020358382587484, 0.7285401459854015, 0.7566083584761971, 0.7283244372244139]"
178,"[0.7410911850229961, 0.7070039018952062, 0.6981306538417497, 0.747970695970696, 0.7277825577335528]"
179,"[0.7419455739756021, 0.7084663424147097, 0.7172518528942676, 0.7224990989773393, 0.7307569138555055]"
180,"[0.7268178174739495, 0.7296303946345257, 0.7010590858416945, 0.7375552057883856, 0.7231842601403065]"
