,roc_auc
117,"[0.6699579697478782, 0.6793684084838196, 0.6727507980924861, 0.6737912194357341, 0.6741910522992189]"
118,"[0.6807774045143538, 0.6723713223449148, 0.6715103302589851, 0.6782595034179772, 0.6670886922128247]"
119,"[0.6758931521493334, 0.674426289851625, 0.6722266412505155, 0.6777219710417037, 0.6698893647575804]"
120,"[0.6702164292695806, 0.6790252250290433, 0.6657915111407072, 0.6748056689005095, 0.680184329382516]"
121,"[0.6748871154612279, 0.6745974731962843, 0.6781646762218974, 0.672910970476884, 0.6693105779566021]"
122,"[0.670109330607333, 0.6723597298828748, 0.6754309563126891, 0.6763126945787199, 0.6760356313485864]"
123,"[0.6779148166919189, 0.6761121244174587, 0.6683948850049267, 0.6694376562136619, 0.6782035658987292]"
124,"[0.6726384318923363, 0.6784929622169215, 0.6680159922182696, 0.6790591270716962, 0.6715775440278294]"
125,"[0.671456631537805, 0.6780733548438016, 0.676959593146601, 0.6731618922905563, 0.6705526483396304]"
126,"[0.6724731205413619, 0.6791185259612742, 0.6778700348400001, 0.67398458861352, 0.6667154056193532]"
127,"[0.6789742347182319, 0.6670649257472497, 0.6780318967314342, 0.6743045450809064, 0.6718781672746365]"
128,"[0.6721327473711985, 0.6817224498410482, 0.6670174044661534, 0.6766491541948979, 0.6725421863355385]"
129,"[0.6671121675853767, 0.6805337059306774, 0.673933787458895, 0.668477163251373, 0.6803361756717128]"
130,"[0.6808639933543525, 0.6704355802728589, 0.6711797989403454, 0.6701652759280826, 0.6773165755092352]"
131,"[0.6736847403466484, 0.669564496545735, 0.6758493421812192, 0.6764552694687658, 0.6745795215769346]"
132,"[0.682841758073312, 0.6719257726484609, 0.6777616632470694, 0.6676293959744991, 0.6699164531911839]"
133,"[0.6760089235169411, 0.676524911565482, 0.6700037609724598, 0.6749560255036731, 0.6726892896946428]"
134,"[0.6805290528156239, 0.6668877217797804, 0.6713057044872505, 0.6760728134016574, 0.6754117530234868]"
135,"[0.6771220744463629, 0.6709911166312289, 0.6733441819735242, 0.6703252052673793, 0.678027101541644]"
136,"[0.6667518236970479, 0.6793363899758262, 0.6747313272883046, 0.6774154421330375, 0.6718924746255678]"
137,"[0.6703314982907829, 0.675524361029055, 0.6733836872589822, 0.6735863425823835, 0.6773313146991469]"
138,"[0.6755727577339069, 0.674817457615966, 0.6701297724883586, 0.6734773863519774, 0.6760253138716346]"
139,"[0.6805014680365832, 0.6738295134746688, 0.6729539760985419, 0.6709410116787211, 0.6715995557616322]"
140,"[0.674511362727304, 0.6707888607780851, 0.6696743011784854, 0.6779339939282983, 0.6773843622117113]"
141,"[0.6724985056977044, 0.679211363056938, 0.6725008791930311, 0.6700145388842511, 0.675869981414053]"
142,"[0.6755627479309623, 0.670757241821928, 0.6745217114720399, 0.6712315321321715, 0.6781090536301697]"
143,"[0.6712985424695262, 0.6756472266017777, 0.6739492991958013, 0.6779134168487878, 0.6713046812003703]"
144,"[0.6694417485786665, 0.6765087602059903, 0.6731379716580121, 0.6768217927778727, 0.6739731035350802]"
145,"[0.6820902280979471, 0.6692512782885852, 0.6735381936791494, 0.6734455068767767, 0.6715786603045255]"
146,"[0.6767986934087428, 0.6739887498967688, 0.6760779985664064, 0.6701018800931177, 0.6733417785498625]"
147,"[0.6684869157695196, 0.6733335353581205, 0.6739150428670713, 0.6772328115152669, 0.6768811693336887]"
148,"[0.6744099814933571, 0.6759415003293756, 0.672023598926985, 0.6739306566773823, 0.6735702604220211]"
149,"[0.6800162826260855, 0.6740674504371712, 0.6737019724701044, 0.6681468215618109, 0.6742188088706759]"
150,"[0.6741369088871417, 0.6702348050511352, 0.6700881157671785, 0.6841576136525344, 0.6713721426558139]"
151,"[0.6697677910497908, 0.6737772450876712, 0.6706978936877274, 0.6722196060790414, 0.6837684951594076]"
152,"[0.6720951524149494, 0.6783293575659491, 0.6718815266118902, 0.6731663070562632, 0.6745902217521256]"
153,"[0.6754118687265118, 0.6745353869049, 0.6710027506015342, 0.6769587045806995, 0.6720194472738925]"
154,"[0.6732594555633666, 0.6721703624519365, 0.6731053562375303, 0.6780192635661214, 0.6735817103196]"
155,"[0.6669171388215082, 0.6804604828025169, 0.6724059927414601, 0.6719370905939901, 0.678294476845049]"
156,"[0.6727771644703688, 0.6673728844772419, 0.6792958326546938, 0.6745890885582374, 0.6759919320810004]"
157,"[0.6728659727403985, 0.6793530858955303, 0.6748401038357532, 0.6743471377015755, 0.6686055220046419]"
158,"[0.6767207997276947, 0.6701447599758587, 0.6703896471316937, 0.6770790772894355, 0.6758047923034223]"
159,"[0.6733466184333621, 0.6739024214763429, 0.6721849474336394, 0.6750781014072521, 0.6753763499618352]"
160,"[0.6814397362402743, 0.665323868789912, 0.6790301102941017, 0.6751573651678326, 0.6688471001823395]"
161,"[0.6718017891442973, 0.6743867823939078, 0.6698433906752683, 0.6841556210545898, 0.6699553909268874]"
162,"[0.6735534572665182, 0.6763633523760991, 0.6710309649385933, 0.676391079860251, 0.6727547879844795]"
163,"[0.6682524059231746, 0.6790886674986679, 0.6802412552288696, 0.671431412130667, 0.6709307072041996]"
164,"[0.672695070115401, 0.680523757310873, 0.6700025789665371, 0.6701867976358663, 0.67675751313194]"
165,"[0.6768464852450836, 0.6688168637180373, 0.6785452543996575, 0.6749616819432891, 0.6711088927171682]"
166,"[0.6811448358739287, 0.6638728841861707, 0.6785970833432236, 0.6725491847350243, 0.6740314305338577]"
167,"[0.6776870854744992, 0.6749242991309331, 0.6721421710295878, 0.674724680305999, 0.6707799114351269]"
168,"[0.6786350980836328, 0.6738726934986902, 0.6766712123059162, 0.6708967753193363, 0.6702044879767297]"
169,"[0.6794623339182757, 0.6745159702313148, 0.6713966971067873, 0.6678710423132475, 0.6766728621902312]"
170,"[0.6730945136953964, 0.6702895509762291, 0.6741361287630342, 0.675992379555817, 0.6765841756903143]"
171,"[0.6758064016680349, 0.6760175785111796, 0.6728821850461407, 0.6723056896407738, 0.6727835389101424]"
172,"[0.6693217209997597, 0.6791315109894124, 0.6690350827409894, 0.6789148255352937, 0.673796625311418]"
173,"[0.674104761747288, 0.673484656073159, 0.6761191170653005, 0.6745959043545332, 0.6718765163564889]"
174,"[0.6721125282224664, 0.6731707139326727, 0.6735153210177934, 0.6739986440494828, 0.6773294765638536]"
175,"[0.672689350144418, 0.6706000050860861, 0.676891062955796, 0.6771491754093032, 0.6728423176757174]"
176,"[0.6773053229326841, 0.6803690612508195, 0.6780426525297264, 0.6705270501627582, 0.663978061516876]"
177,"[0.6739467483365402, 0.6741133276682281, 0.679753817168442, 0.6700337888958959, 0.672120270669552]"
178,"[0.6670332529557242, 0.6723634988186219, 0.6783716112615036, 0.67989229574906, 0.6723630664897453]"
179,"[0.6702923911347567, 0.6795057707314317, 0.6766621780389744, 0.6749972707187213, 0.6683152934504538]"
180,"[0.6716675320163857, 0.670883661892516, 0.6711209452119596, 0.6791451916684881, 0.6771785707111064]"
181,"[0.6730357971508392, 0.6752482525685694, 0.6744375721279496, 0.6755747144759034, 0.6716305655293947]"
182,"[0.6709922188941497, 0.6717246242189093, 0.6786129242776082, 0.6732541908752053, 0.6753061379524908]"
183,"[0.6786492666922581, 0.6713630889371303, 0.6736254150023, 0.6713211596045792, 0.675490708500328]"
184,"[0.6689387685686876, 0.6729626544987208, 0.6741934459970562, 0.6772437327816764, 0.6767067877360191]"
185,"[0.6716022262711754, 0.6802743416929192, 0.668227196243059, 0.6734558459954416, 0.6767986199815973]"
186,"[0.6775296844568384, 0.6772907891575142, 0.6702437358425894, 0.6789396942677788, 0.6659886745870952]"
187,"[0.6782252196367088, 0.6709938325970649, 0.6728559390292816, 0.6751492464948766, 0.67269115968264]"
188,"[0.6788602012299295, 0.670823914592501, 0.6728082562823131, 0.672928075719159, 0.6747598771417419]"
189,"[0.6736849408117148, 0.6749395364017506, 0.6694910499311709, 0.6732269450975908, 0.6786074461696433]"
190,"[0.6764075223518298, 0.67594023013755, 0.6724483466417864, 0.6702752111647926, 0.6750406186225962]"
191,"[0.6773602126441098, 0.6683129338236287, 0.6752066660835143, 0.676907530777746, 0.6724410897386122]"
192,"[0.6742477923514089, 0.6683209493961749, 0.6787255946217517, 0.6730897041839597, 0.6755544167311347]"
193,"[0.6751210843467049, 0.6771471117583183, 0.6806579380916133, 0.6678284767208799, 0.6692404799541088]"
194,"[0.674696523449727, 0.6692371202827849, 0.6703392330213002, 0.6767115761610243, 0.6787681662008309]"
195,"[0.6776452848188361, 0.6718599254711852, 0.6775687224790604, 0.6704801422276102, 0.6724083951047213]"
196,"[0.6758322986037428, 0.6741298971554773, 0.6798207280649821, 0.6695790912343988, 0.6706826442933349]"
197,"[0.6778966644929281, 0.6741505039967508, 0.670713263529052, 0.6711117068976935, 0.6758051756287136]"
198,"[0.6725263611652781, 0.675878298376929, 0.6730166066740042, 0.6754578641004992, 0.673152231512744]"
199,"[0.6758354433749916, 0.6738338610608833, 0.6769380911273664, 0.6725038688946532, 0.6705560886069827]"
200,"[0.6714532047379074, 0.6757435652489958, 0.6775811881077144, 0.6686040769059304, 0.676454802516928]"
201,"[0.6787814637315689, 0.6671937848498786, 0.6766525462939457, 0.6705806130149743, 0.676928987579624]"
202,"[0.6767013664450917, 0.6711679021798125, 0.6757324481005127, 0.6791471497983236, 0.6674113184513796]"
203,"[0.6790212230065982, 0.6747392437234585, 0.6700594066628652, 0.6729154021749871, 0.6732998674799516]"
204,"[0.6738380751196573, 0.6742570270218309, 0.6739203790600978, 0.6734380153637812, 0.6745289202758775]"
205,"[0.6732259816632351, 0.6737309984332156, 0.671376158703853, 0.6762352919695459, 0.6754319949205325]"
206,"[0.6760151163009224, 0.6735310273636097, 0.6684717593483316, 0.6705945249346469, 0.6817548312119102]"
207,"[0.6698255958382618, 0.6708915958194939, 0.6785915410502417, 0.6756513543515683, 0.6752222137932768]"
208,"[0.6720451942398411, 0.674943414046666, 0.6746083554163662, 0.6739973046169698, 0.6744718345480164]"
209,"[0.6772821834876551, 0.6736933977911068, 0.6779856624712285, 0.6704407372334229, 0.670551125493285]"
210,"[0.67556103346267, 0.6701371904875553, 0.6727672656746541, 0.6784309874489534, 0.6731910879162367]"
211,"[0.6808364290093452, 0.6758275262550223, 0.6649353119930201, 0.6721533122450493, 0.6764397512258498]"
212,"[0.6715875956714773, 0.6647587259876767, 0.6770079938865393, 0.6785215267110031, 0.6782616652376601]"
213,"[0.6740922645108224, 0.6689730197530477, 0.6713559953397412, 0.6754340308309426, 0.6801930460921166]"
214,"[0.6685980831904105, 0.6792805252966635, 0.6717122889489943, 0.681176255144367, 0.6693594283645151]"
215,"[0.6716148105314944, 0.6763878439795165, 0.667814755455423, 0.677032594417611, 0.6770636692647798]"
216,"[0.6706091409959801, 0.6857741342806554, 0.6694616026085344, 0.6683774454248383, 0.6759030528874728]"
