,roc_auc
154,"[0.7012282315843688, 0.7014204804894957, 0.6885664991242958, 0.7000103708331125, 0.6993357206682395]"
155,"[0.6994771513931465, 0.6972217187309299, 0.7020629728824366, 0.6942823789873844, 0.6976471251837202]"
156,"[0.702082823246691, 0.6986744623613397, 0.697681508325876, 0.6940744617190255, 0.6983458952546764]"
157,"[0.702407935667623, 0.6976994905540775, 0.6943090733084551, 0.7009045929668224, 0.6956329155077238]"
158,"[0.6993383929206841, 0.6983189524386453, 0.701276100584549, 0.697395131874633, 0.6945319986743133]"
159,"[0.6933935890364721, 0.7046694221802072, 0.7010147771786284, 0.6963167411809209, 0.6954767740788019]"
160,"[0.6986518642708497, 0.7007792898900254, 0.6953517849093432, 0.6890019199209129, 0.7070262610018125]"
161,"[0.7043241030191275, 0.6986813356492713, 0.6927822568351035, 0.697226211935603, 0.6977866478520502]"
162,"[0.7015088322022311, 0.6973248271295447, 0.6952056219899743, 0.6940361205128949, 0.702594336099358]"
163,"[0.6962394264634368, 0.6947909752331194, 0.703666944736713, 0.6980245208904404, 0.6984924184623895]"
164,"[0.6978709822658458, 0.7016793455827249, 0.7000881567274534, 0.7003195161052819, 0.6907125999674072]"
165,"[0.703481469243471, 0.6938560185369216, 0.6986420321550386, 0.6981629322359139, 0.6966904464784415]"
166,"[0.6969770587354142, 0.7019373605946031, 0.6949738618938361, 0.6930936789999212, 0.7029772782039097]"
167,"[0.6928987179801708, 0.6992772937491996, 0.6971771479101962, 0.7016646447174614, 0.6997170769525352]"
168,"[0.7065568683585948, 0.6919277253254003, 0.6944688488789885, 0.6957701281229252, 0.7019281258583239]"
169,"[0.694458551431597, 0.6920783894765948, 0.6929504946306728, 0.697109742121788, 0.7141699646506248]"
170,"[0.7046020137934631, 0.7027880775203007, 0.6916859832993812, 0.7015503441967811, 0.690127019094275]"
171,"[0.7009964521939943, 0.6940728199251768, 0.7004815605301777, 0.6951504333841295, 0.7002098141227953]"
172,"[0.700821454606001, 0.7015611831400008, 0.6970511338482663, 0.7001304958661287, 0.6913279379573537]"
173,"[0.701222968797688, 0.6961968486238144, 0.6951039198006969, 0.7036188338779156, 0.6949222478117838]"
174,"[0.697507675201789, 0.7003014647239892, 0.6970613790877246, 0.6971180117714404, 0.6989991544410936]"
175,"[0.6955364080513241, 0.7074873226880116, 0.6984167560572415, 0.6927487795540932, 0.6963369618081356]"
176,"[0.6964744972235276, 0.6962079394048031, 0.7008203446199379, 0.6974792836478706, 0.6997277599549895]"
177,"[0.6930871795402139, 0.7050670843343713, 0.6993727128271842, 0.6968118621897905, 0.696236396738491]"
178,"[0.7002761416063653, 0.6990031044925535, 0.6975094014684575, 0.703353317392945, 0.6909532791243893]"
179,"[0.6956614142731479, 0.701889525643075, 0.6970534582362591, 0.6989734010379823, 0.6970137778606597]"
180,"[0.7012534673104519, 0.7025064282039497, 0.6971809454698759, 0.6963962421985477, 0.6928153885454875]"
181,"[0.6967257138545091, 0.6980196727301656, 0.701243409338581, 0.693071486597628, 0.7015335086203918]"
182,"[0.6968574548997455, 0.6975422606877766, 0.6995559547288394, 0.6994009856287224, 0.6969244724553806]"
183,"[0.6942081383488081, 0.698489767717189, 0.6972351066609895, 0.6999372221777996, 0.7007455920667305]"
184,"[0.700260050213318, 0.7010033141323752, 0.6962037287214764, 0.6941981522935048, 0.6989166690845602]"
185,"[0.6996942853232385, 0.693126064236024, 0.6949058099875647, 0.7002942530918274, 0.7021009700497696]"
186,"[0.6945290764049759, 0.7005847983136709, 0.6980813121402658, 0.6984467600068891, 0.6988611699162474]"
187,"[0.7016198069744678, 0.6993487561954701, 0.700790926584405, 0.6960411660321797, 0.6929416184756665]"
188,"[0.7045842188328488, 0.693962284380554, 0.6947804791685896, 0.6959168658761131, 0.7018579286222416]"
189,"[0.7004823220850328, 0.7038462778530914, 0.7034994208278856, 0.6898306931980185, 0.6934326937698673]"
190,"[0.6927831239407805, 0.699285549412412, 0.6991324167339301, 0.7005624099618482, 0.6995020195199603]"
191,"[0.6953188303537978, 0.699102341559409, 0.698151186784387, 0.6904720615704193, 0.7077785062485858]"
192,"[0.6956644037448143, 0.6962880422640564, 0.7001041334900382, 0.698949046153522, 0.699813104782693]"
193,"[0.6999311765512689, 0.695054444839086, 0.7022188759862555, 0.6964899213800946, 0.6969274692810611]"
194,"[0.6964599289401905, 0.7017229210478582, 0.6979740566158084, 0.6943375705270004, 0.7002574284611168]"
195,"[0.6974490876858845, 0.6962586060692422, 0.6942169047418042, 0.702103124585808, 0.7008368181648321]"
196,"[0.6917484251227191, 0.6999661774308137, 0.6977693005057596, 0.7026691659284713, 0.6982632725436325]"
197,"[0.6927848604220446, 0.7010530489986981, 0.6993203471349984, 0.7059940986145448, 0.691877856604888]"
198,"[0.6977515906667761, 0.7033417880525331, 0.6926526767443292, 0.6966089521176728, 0.7000951548911623]"
199,"[0.7027242692110531, 0.6972770500607256, 0.6988531837369327, 0.6977283289432108, 0.6944224079376287]"
200,"[0.6994573055687124, 0.6973121667056879, 0.6908075235318407, 0.7047422711752185, 0.6973541627702258]"
201,"[0.6932789131757371, 0.6952820702938876, 0.6986885244547135, 0.7016711900571861, 0.7019994718775835]"
202,"[0.6969729638175051, 0.6992273284869964, 0.6977308970309012, 0.701340390449153, 0.6954288566524286]"
203,"[0.6958383844130609, 0.6962042871193731, 0.6944308630675975, 0.6994400476622421, 0.7049386756382547]"
204,"[0.7075633170098949, 0.6987032346074351, 0.6969877432024862, 0.6930402026889427, 0.6941695428247071]"
205,"[0.6896877666406704, 0.7031853140663118, 0.6961725628551285, 0.6962694265251674, 0.7052697874156297]"
206,"[0.6985370158969435, 0.6993814621958541, 0.6965444626640547, 0.6973207402177594, 0.6991255466993302]"
207,"[0.6999210981502066, 0.7019664642475805, 0.6988406822067863, 0.6903962259884451, 0.6997729961305079]"
208,"[0.6957033395136025, 0.6934520369529024, 0.7012090088502707, 0.7016409289287806, 0.6983938376545971]"
209,"[0.7028463778925715, 0.6947112741479625, 0.7041724128685456, 0.6982464142640185, 0.6902523953831993]"
210,"[0.6961512211599062, 0.6972834024042779, 0.702249625324091, 0.6951555654481074, 0.6997776389399901]"
211,"[0.6901208768466787, 0.7057168393048344, 0.6916005359366818, 0.6978938956159301, 0.7055334626690646]"
212,"[0.7003467471615545, 0.6960256247614438, 0.6988723644776931, 0.701626688330992, 0.6941302390018428]"
213,"[0.701967948768818, 0.692234114392467, 0.7022574122508576, 0.6923692565552042, 0.7019167072713843]"
214,"[0.6960198705392157, 0.7009253268293808, 0.6908779111756557, 0.6976723314391124, 0.7055251271800601]"
215,"[0.6975417601725887, 0.6948548164560641, 0.697151345841531, 0.7031595987214089, 0.6977338117720125]"
216,"[0.6987885809591329, 0.6957509985470942, 0.7035693692440866, 0.7029663307088858, 0.6900227023167234]"
217,"[0.6951329791904262, 0.7076327285923457, 0.6999795381219516, 0.6928826389029838, 0.6953717625825699]"
218,"[0.7004670694237854, 0.6973905489730483, 0.6946723031955668, 0.6982986997908533, 0.6995644318202405]"
219,"[0.6946903058529597, 0.6959514929008379, 0.7007875035599, 0.6996008296303238, 0.6998926807209618]"
220,"[0.6993085481420431, 0.6942343047380525, 0.7007313550624509, 0.701328651746743, 0.6950477217245751]"
221,"[0.6983802263932115, 0.7065639561530355, 0.6937460527397461, 0.6959143946300879, 0.6959525564807423]"
222,"[0.7001137306701488, 0.6967654055033772, 0.695640581037799, 0.6990110202815627, 0.6986023054761585]"
223,"[0.6959639569774669, 0.6985125099469732, 0.7014434871638126, 0.6915768617904408, 0.7035058762529853]"
224,"[0.6928249311459075, 0.699126493403396, 0.7026803487195773, 0.7020104636438957, 0.6940255816759184]"
225,"[0.6974647761698803, 0.6993794862390692, 0.6957439527459912, 0.701121646012862, 0.6973553671763042]"
226,"[0.7030477995046112, 0.6971028174324523, 0.6972032518769115, 0.6960203210662815, 0.6975546867334115]"
227,"[0.6966915528417195, 0.7042883099409407, 0.6939379770477219, 0.7004076261857723, 0.6953397680629467]"
228,"[0.6991444245586191, 0.7024329341880955, 0.695807233301129, 0.7035778432054447, 0.6901765745583213]"
229,"[0.7024925352188818, 0.6967433090630303, 0.6893551782706623, 0.7035531489077729, 0.6983420027867755]"
230,"[0.6976768323109688, 0.7002601614389153, 0.6971417963295335, 0.6969648751143278, 0.6988481995638891]"
231,"[0.6956828569793717, 0.6996068654086195, 0.694131779706346, 0.7009092584795297, 0.7002615876919099]"
232,"[0.6970183972040954, 0.7024010226562637, 0.7021866863904305, 0.6988617829033184, 0.6900818782723008]"
233,"[0.6974720205881214, 0.7019242178148396, 0.6966050011677325, 0.7013464045334162, 0.6933888129768727]"
234,"[0.7005171425067206, 0.70193746501047, 0.6959242880277003, 0.7039984408787365, 0.6884995713404115]"
235,"[0.6988616573115196, 0.6956667916902911, 0.7006897930076199, 0.6970902025913188, 0.6987022836674408]"
236,"[0.6997530964252929, 0.701073958276037, 0.6960858432077905, 0.697970861818502, 0.6957047814308325]"
237,"[0.6981314101922125, 0.6948655122726869, 0.6986603730290438, 0.6970592830693925, 0.7025033915212445]"
238,"[0.7020214494160784, 0.694498490500671, 0.6957819578516183, 0.7001803112820997, 0.698024266614322]"
239,"[0.7020448714839522, 0.6963499835722062, 0.696705911158368, 0.6927604728500534, 0.7031455238571618]"
240,"[0.6900087898184687, 0.6990456619029848, 0.6967327074476787, 0.7043696068205572, 0.7005835841245067]"
241,"[0.6952522130307406, 0.6992960193729749, 0.6926938313502884, 0.7014386658985712, 0.7023094231142349]"
242,"[0.6920810827249868, 0.699520960659025, 0.6998365258378697, 0.698792043137217, 0.7005742916945745]"
243,"[0.6992721387832508, 0.6954649126913562, 0.6996183670433453, 0.7004458856602936, 0.6954208185756695]"
244,"[0.6969359404480175, 0.6960067833722509, 0.6997193360516445, 0.6994559637580249, 0.698975832553364]"
245,"[0.6966493915306093, 0.703178574703079, 0.6989136915968235, 0.6927913923719798, 0.6991479718096782]"
246,"[0.6937966989749939, 0.6975429927337996, 0.7015448999395459, 0.6963883403411377, 0.7006453175983638]"
247,"[0.694900136347147, 0.6980750801019513, 0.7007408682558858, 0.6988919838681781, 0.6979806889093793]"
248,"[0.6973438330872236, 0.6978035750140565, 0.7035749305239521, 0.6982293198708658, 0.6940349762703624]"
249,"[0.7056592369299346, 0.6975984114551361, 0.6963913958129674, 0.6973105884707665, 0.6934455483357786]"
250,"[0.6992534052147898, 0.7012052737131204, 0.6961381532871777, 0.6968742903823282, 0.6970756112287062]"
251,"[0.6990758017699452, 0.6989926606359572, 0.6970989007024899, 0.6987547508200745, 0.69673122487576]"
252,"[0.6965033818301755, 0.7042242791804986, 0.6945312668682697, 0.7024720440435296, 0.6930401005244309]"
253,"[0.7016556840393301, 0.7021666442187685, 0.6962101934255811, 0.6971713382411349, 0.693486770581143]"
254,"[0.6984651028735083, 0.6966577674990596, 0.694914778402564, 0.7042439251732585, 0.6963388393648309]"
255,"[0.6969546263483652, 0.6995926535011757, 0.6973752145950356, 0.696284433356795, 0.7006229787602704]"
