,roc_auc
76,"[0.697870215533259, 0.7538902824228911, 0.7543431809736157, 0.740912903676779, 0.7471107693741554, 0.7673586840020505, 0.737219814530034, 0.7553124563120369, 0.7346101868679807, 0.7384081271261476]"
77,"[0.7344272575250835, 0.7197719249349686, 0.7358904682274248, 0.75640756792022, 0.7344820355095764, 0.7505009553101263, 0.7601938580548953, 0.757316277552542, 0.7606249126240738, 0.7221795051027541]"
78,"[0.7344620958751393, 0.6941425120772948, 0.7880318654775177, 0.7409478540472529, 0.7377906705811081, 0.7398876928095437, 0.7677081877067897, 0.7585511906426209, 0.7436506826972367, 0.729076378209609]"
79,"[0.7568283166109253, 0.6896715904868078, 0.7771274619100705, 0.720816440654271, 0.7989654690339718, 0.707174146045948, 0.7329558693322149, 0.7201290833682837, 0.7534018360594622, 0.7635257933734096]"
80,"[0.7576992753623188, 0.7297589186176143, 0.7349962839093273, 0.7653898131320191, 0.7300200382124051, 0.7354256955123725, 0.7344820355095764, 0.7659373689361108, 0.7315462043897665, 0.7496737965422433]"
81,"[0.7613689149015236, 0.7081591415830546, 0.7457613340765514, 0.7389090824362738, 0.7481243301178992, 0.752143622722401, 0.7416352113332401, 0.740272146884757, 0.7725662892026655, 0.7187660189198006]"
82,"[0.7367149758454107, 0.7639237272389445, 0.6959308807134894, 0.7925462509902605, 0.7020946922037374, 0.7769816860058716, 0.749883498765087, 0.7252201873339857, 0.7341208816813459, 0.7638985973251315]"
83,"[0.7666527313266442, 0.7562128390932739, 0.7453316610925307, 0.7398294421920871, 0.7533435854420057, 0.7306141945104618, 0.7233328673283936, 0.7236357705391677, 0.7634558926324618, 0.7285404725290089]"
84,"[0.7632617985878856, 0.7193770903010033, 0.7384801189149015, 0.7654946642434409, 0.7386061792254999, 0.7751759168647189, 0.7293676312968917, 0.7603220094132997, 0.7211659443590103, 0.709923575189897]"
85,"[0.7634476031215163, 0.7511961166852472, 0.7228260869565216, 0.7282958199356913, 0.7382799757677432, 0.7765156810662194, 0.716482594715504, 0.7722866862388742, 0.7397944918216134, 0.7166107460739084]"
86,"[0.749593552582683, 0.7168455035302861, 0.7893673355629878, 0.717461205088774, 0.7686518477095858, 0.7548930518663498, 0.7413206579989748, 0.7098769746959318, 0.7340043804464327, 0.7529008807493359]"
87,"[0.7456335934596804, 0.7279821627647716, 0.7972291898922335, 0.7304394426580921, 0.7494058437019433, 0.7046577193718253, 0.745316650356494, 0.7287618248753436, 0.7525746772915795, 0.7436739829442194]"
88,"[0.754041248606466, 0.7342066146413972, 0.7600915087328131, 0.681007968684468, 0.7254415396803207, 0.764213150659397, 0.7292394799384874, 0.7371965142830514, 0.766624726222098, 0.7716692296938349]"
89,"[0.7356465997770346, 0.7257989594946116, 0.7750139353400223, 0.7738827531571836, 0.7273288596859127, 0.7965305932242882, 0.723379467822359, 0.7171466517545086, 0.723985274243907, 0.7351111421781071]"
90,"[0.7709378483835007, 0.7755597361575621, 0.7147668153102935, 0.7890861643133418, 0.7893308169066592, 0.7688965003029032, 0.6976792954005313, 0.7412624073815183, 0.7232979169579198, 0.6665152150612796]"
91,"[0.7802745261984393, 0.7347291898922332, 0.7160209959123003, 0.7052751759168647, 0.7543221958152756, 0.7802670208304209, 0.7450137471457198, 0.760974416328813, 0.752376625192227, 0.699403513677245]"
92,"[0.7236157562244518, 0.745819397993311, 0.7820628948346339, 0.7380353231744257, 0.7141292697702595, 0.7406566009599702, 0.7201407334917749, 0.7391537350295914, 0.731336502166923, 0.7915676406169907]"
93,"[0.7700204384986994, 0.7249976774433297, 0.7346943515421778, 0.7455380027028287, 0.7528076797614055, 0.7520853721049443, 0.7082925579011138, 0.7549280022368238, 0.7653315625145626, 0.7281443683303043]"
94,"[0.7818074136008919, 0.7113642697881828, 0.7187964511334076, 0.7617899249732047, 0.7141642201407336, 0.7629199869518617, 0.7578405331096509, 0.7371965142830514, 0.7799641176196468, 0.7124283517405285]"
95,"[0.7473755109624675, 0.7932924563359346, 0.7548076923076924, 0.7439768861549932, 0.760403560277739, 0.7126963045808286, 0.7174495549652825, 0.73495969057272, 0.7017684887459806, 0.7672072323966634]"
96,"[0.7373652917131178, 0.73841044221479, 0.7026546822742474, 0.7493126427140128, 0.7363344051446945, 0.7386993802134303, 0.7445710424530501, 0.7546600493965236, 0.7623957313947528, 0.7682790437578639]"
97,"[0.7791829245633594, 0.749047751765143, 0.7402220364176886, 0.7426604222004753, 0.7616384733678176, 0.7164126939745561, 0.7453632508504592, 0.6624260217158302, 0.7600540565729998, 0.7692809543781165]"
98,"[0.7753623188405798, 0.7413136380527685, 0.7508477331846898, 0.7337830281000979, 0.784833869239014, 0.7548348012488932, 0.6888601519176103, 0.7161214408872734, 0.7782049489724592, 0.7143972226105597]"
99,"[0.7258802489780751, 0.7314427722036416, 0.7350543478260869, 0.7489514888857822, 0.7559648632275502, 0.7470758190036815, 0.7853115243021576, 0.7631762896686706, 0.7403886481196701, 0.697516193671653]"
100,"[0.7447626347082869, 0.7443213489409142, 0.7430555555555556, 0.7292977305559439, 0.7014772356586979, 0.7556503098932849, 0.7603103592898085, 0.7815485344144648, 0.7397595414511394, 0.7261638473367816]"
101,"[0.7769068190263844, 0.7467368078781121, 0.7780332590115199, 0.7634908430029359, 0.7134885129782378, 0.7546949997669976, 0.7308355468567967, 0.7074770492567222, 0.7303112912996879, 0.7313947527843795]"
102,"[0.7721339650687477, 0.7441123188405797, 0.6978469899665551, 0.7645044037466798, 0.7565590195256069, 0.7248240831352812, 0.7836921571368657, 0.7064052378955217, 0.7415769607157836, 0.7351227923015984]"
103,"[0.7516490152359717, 0.7795429208472686, 0.7243241360089185, 0.7082925579011138, 0.7301015890768442, 0.7331888718020412, 0.7880609534461065, 0.746609814064029, 0.7284239712940956, 0.7418798639265576]"
104,"[0.7281331289483463, 0.742602657004831, 0.7345433853586028, 0.7535882380353233, 0.7612190689221306, 0.7582599375553382, 0.7345053357565592, 0.7486602357984995, 0.7476932755487208, 0.7249755347406683]"
105,"[0.7424400780379041, 0.7602889260497957, 0.7823532144184318, 0.7325364648865278, 0.7629782375693184, 0.7399109930565264, 0.7537629898876927, 0.6890582040169626, 0.7123584509995806, 0.7668460785684328]"
106,"[0.7651430694908956, 0.752833519137867, 0.7061965811965812, 0.729414231790857, 0.7673120835080852, 0.806328347080479, 0.6887669509296799, 0.7674751852369636, 0.7055547788806562, 0.737406216505895]"
107,"[0.7221060943887032, 0.7472477703455964, 0.76996237458194, 0.7811174798452863, 0.7443147397362413, 0.7174495549652826, 0.72481243301179, 0.7740808052565358, 0.6952793699613218, 0.7520504217344703]"
108,"[0.7240570419918246, 0.7636566332218506, 0.7414994425863992, 0.7602870590428257, 0.7537396896407101, 0.7365324572440468, 0.767649937089333, 0.7147350761918077, 0.7196397781816487, 0.7471107693741554]"
