,roc_auc
149,"[0.7470252634517413, 0.7281968967362228, 0.7324656291436944, 0.6876514516053871, 0.7273550724637681]"
150,"[0.7369262800381511, 0.7353967478540024, 0.7253239351431829, 0.7184485530546624, 0.7041072510368609]"
151,"[0.7302033172819689, 0.727190778607486, 0.7448472794100545, 0.6921338366186682, 0.7273288596859127]"
152,"[0.7532567985670086, 0.7095051992462836, 0.7359521483239119, 0.6996772915792908, 0.7208601286173634]"
153,"[0.7133057668597482, 0.7351292251145696, 0.7405349291646313, 0.7023568199822918, 0.7287793000605807]"
154,"[0.695902249517296, 0.7308372298601904, 0.7238932700583899, 0.7441050375133975, 0.7206999394193578]"
155,"[0.7396247702793868, 0.7047653941889408, 0.7051754018656804, 0.7232367538095904, 0.7386906426208117]"
156,"[0.7144950799078791, 0.7280834903575499, 0.703366715518645, 0.7315782422293675, 0.7405226245398202]"
157,"[0.7188016144415754, 0.6954777025612394, 0.7436812292088306, 0.7037111468381565, 0.7472301831399413]"
158,"[0.7376881382743621, 0.7257630213785563, 0.7163008583990509, 0.7300462509902604, 0.7061722354256955]"
159,"[0.698458254821225, 0.7596686207458069, 0.7383336822760369, 0.7097022228435622, 0.7131069714338971]"
160,"[0.7279351897085167, 0.7329279782259752, 0.7119856002977644, 0.7234377184398155, 0.7126584416794818]"
161,"[0.7406250726963965, 0.7482262079233257, 0.7176559192313956, 0.7214659350389114, 0.6950813178619693]"
162,"[0.7236664573010444, 0.7087171703073022, 0.702930537139135, 0.7331306211845845, 0.7536435761219069]"
163,"[0.7323056970712075, 0.731668876637123, 0.6928838951310861, 0.7119856470478587, 0.7485058716622397]"
164,"[0.7126602228580734, 0.7212122269523344, 0.7151522553330076, 0.750017475185237, 0.724931846777576]"
165,"[0.7447425965989718, 0.7164491590480844, 0.744925791518366, 0.7117555571089055, 0.6996219534927071]"
166,"[0.7390548305301603, 0.7400347779561263, 0.7064170563193524, 0.7250104851111422, 0.7126118411855167]"
167,"[0.7304737478772654, 0.7220933072789448, 0.7047246842068532, 0.7522222610559672, 0.7059101076471411]"
168,"[0.7615819899039245, 0.718036848349501, 0.7260334519738525, 0.731779206859593, 0.6839321496807866]"
169,"[0.717673366366576, 0.7332042245329983, 0.7401161979203014, 0.7132234726688104, 0.7129351321124004]"
170,"[0.7374467862376997, 0.7236461023100007, 0.7338962942284878, 0.7128273684701057, 0.7128506687170885]"
171,"[0.7235530509223719, 0.7173738572126457, 0.7767900760695094, 0.7011131692995946, 0.7010141432499184]"
172,"[0.7158937585781748, 0.7121339009467978, 0.7095051992462839, 0.7421041288037653, 0.73522764341302]"
173,"[0.7282056203038129, 0.7526810431060553, 0.7359085304859609, 0.7195203644158628, 0.6867048790717182]"
174,"[0.7027066322376533, 0.7270075836880918, 0.739604415288343, 0.7317151311803904, 0.7148049769327554]"
175,"[0.7146230255658687, 0.7387436899527765, 0.7215379068090353, 0.7338878792115197, 0.7128535812479613]"
