,r2
63,"[0.13165013053240515, 0.11038081720998172, 0.1650171095881514, 0.1309720367663476, 0.13936510992980322, 0.16048569955831293, 0.21278873337060777, 0.14989726976662787, 0.12532923514350924, 0.20863876989415764]"
64,"[0.13447061756311662, 0.1447277843047442, 0.22665919315494942, 0.1343267348677868, 0.11453232105850852, 0.1698784004198629, 0.14598430841074306, 0.21077231589575918, 0.11889070548855551, 0.12421372290625998]"
65,"[0.12822290410863846, 0.1267099967379558, 0.15501941236928596, 0.14762602073616016, 0.133041522636692, 0.17787959345027937, 0.19215774349592607, 0.16139721258368656, 0.12635517216747072, 0.1863618546386091]"
66,"[0.1594340943162662, 0.15050639504964947, 0.13160910129306025, 0.1479373517211764, 0.1476944884141591, 0.14237057291066257, 0.20404532159244038, 0.10686073327334378, 0.13791175269356148, 0.21131638592533175]"
67,"[0.18801797191251435, 0.1929798034482535, 0.16562105374642277, 0.1345628100056332, 0.11423615861460468, 0.09411735105367602, 0.21110000773951487, 0.17121113370602925, 0.13863776441654518, 0.11267510178047413]"
68,"[0.14393876094279756, 0.11059094353866972, 0.11924981331723783, 0.11370241829016126, 0.15988132617632278, 0.21712543596208334, 0.18306502927174717, 0.25105007911489585, 0.10844690599092932, 0.1383987655980472]"
69,"[0.10317193687016302, 0.23307550621834117, 0.16023556828036345, 0.09051707753580984, 0.1667678779123294, 0.16043097916831262, 0.14434290197452682, 0.1410078520726772, 0.1366639005844139, 0.19670983096164762]"
70,"[0.18393974658856949, 0.16870462876353898, 0.11330731574140229, 0.18515662885068263, 0.1897956342879542, 0.15517276779900346, 0.1123486265344189, 0.1860246012834299, 0.09546328535943227, 0.09638401993478984]"
71,"[0.15368610856401832, 0.17121394081045294, 0.12227778130944778, 0.20051090130495164, 0.1470251634264652, 0.17886047797922378, 0.13913926807451404, 0.1399532558104699, 0.17175250018650534, 0.09983215526297784]"
72,"[0.20949643171900967, 0.11983697250352321, 0.16496501820024567, 0.08222268189485027, 0.13295042127637702, 0.14574985361742776, 0.20566387751775073, 0.11831283961770789, 0.17155170296879985, 0.16283426198015805]"
73,"[0.14949591154545538, 0.15517857910345856, 0.14486856807091553, 0.15371081167838463, 0.18093906563461415, 0.1011167047096091, 0.1547884699501283, 0.21822022254135098, 0.1240613036674435, 0.15691028437772003]"
74,"[0.14825791842210423, 0.1705657821020352, 0.14105868866366522, 0.17163072151725034, 0.1572056022639643, 0.14034375733985482, 0.16893100445365927, 0.15166610711978556, 0.11618799051794138, 0.17243589611995191]"
