,r2
187,"[0.03342773493108053, 0.03002817205167707, 0.03266921583231597, 0.035022974774101545, 0.030283004287582238]"
188,"[0.03523751730191116, 0.031422166672452234, 0.029157342320874413, 0.030240554704458633, 0.03547313583787637]"
189,"[0.03231884211986069, 0.03295268781839622, 0.02816704922693536, 0.030441216695978213, 0.03743222192001272]"
190,"[0.03159053487309105, 0.03336804756609413, 0.03076325854228812, 0.03315646325798405, 0.0327370538950158]"
191,"[0.033041746722781706, 0.030707323838817135, 0.03375681084658, 0.03365342926609294, 0.03059331940465626]"
192,"[0.03257891984121264, 0.030889646595765097, 0.032696348205554115, 0.03272572853015232, 0.03264855639282782]"
193,"[0.031850292979801464, 0.03511908694792343, 0.0339612721045619, 0.031709822248940145, 0.02881863313912636]"
194,"[0.03173555150965757, 0.027900135640255397, 0.03274625462167602, 0.034490418437545745, 0.03473643046134933]"
195,"[0.035566064872186276, 0.03151304342295447, 0.03382289683512807, 0.03002960826708556, 0.030480867595374495]"
196,"[0.03607357754680118, 0.03133855267849073, 0.03438246157936364, 0.0313016568342418, 0.028364665899418773]"
197,"[0.03011515761286887, 0.03405632557897165, 0.03270909223088847, 0.03119097864416298, 0.03341031202292444]"
198,"[0.03200918112349427, 0.0337133334344254, 0.03158788645448318, 0.03389384623443237, 0.03043874699206761]"
199,"[0.031142355645992326, 0.03314483780265487, 0.03370884470755853, 0.03176510060132243, 0.0317115325380628]"
200,"[0.03170682021902327, 0.031630300647499277, 0.03333206357810414, 0.030737588566854046, 0.03408326923473548]"
201,"[0.033971321150197076, 0.030736053915490502, 0.03169081557293174, 0.033350416112216674, 0.031853788527480664]"
202,"[0.03263008006405599, 0.03256552539337232, 0.032163015643285386, 0.03570252373018945, 0.028469251000575735]"
203,"[0.03362578468521549, 0.03221136530003632, 0.03420543713909141, 0.03009387509997896, 0.03142454975204645]"
204,"[0.03456946229746516, 0.03038189449601003, 0.03203127227355285, 0.03248991472749874, 0.032168672827866174]"
205,"[0.033179891542018614, 0.030226117342458947, 0.0312668354943334, 0.034115003499147645, 0.03284929249771573]"
206,"[0.03269497478502614, 0.030183049801719042, 0.0306058675432479, 0.0346449921837666, 0.033486910977275186]"
207,"[0.030662151369252766, 0.02991003505776446, 0.034787325987326256, 0.03468041038534719, 0.03151687956654181]"
208,"[0.030505374073019786, 0.03313145035962395, 0.03368021825881673, 0.030643229224695867, 0.03363156858287453]"
209,"[0.03371146198372754, 0.03156931105567318, 0.03407147358320661, 0.03208805165868722, 0.030125944497129464]"
210,"[0.03593476755009262, 0.030719148618885694, 0.030979715545773168, 0.03210278231006913, 0.031760903769698756]"
211,"[0.035613153503903594, 0.03162183522057027, 0.031637551535322106, 0.030399705269783417, 0.03228741164389859]"
212,"[0.033673689412677676, 0.02889807839729397, 0.03348480819010502, 0.03444034027222309, 0.030994750234764834]"
213,"[0.03330736179659188, 0.030205696669153625, 0.02964623971792768, 0.0354718096201061, 0.03294228277564937]"
214,"[0.028121965450065844, 0.033155028157121125, 0.03265371312615761, 0.03770304353303888, 0.029901214876623006]"
215,"[0.03137261179830364, 0.034290899921414875, 0.030881483066093507, 0.03035425762563171, 0.03465088092437296]"
216,"[0.031137983860776042, 0.03732571292057263, 0.028962826859631252, 0.030170217744122874, 0.03390621591805665]"
217,"[0.03284864237247498, 0.03122433165402172, 0.02836449506881511, 0.034457197273326634, 0.03456792888779958]"
218,"[0.029784407500306975, 0.033780492119707795, 0.03380730079921512, 0.030155592791460517, 0.03408834170364783]"
219,"[0.03313055655164865, 0.033796067736046265, 0.03079035403613284, 0.03171269311959579, 0.03222454940106567]"
220,"[0.03088252122659685, 0.03399474164502381, 0.031700296365526515, 0.03397935434132626, 0.030795446071580912]"
221,"[0.03058647710477913, 0.033648530531729226, 0.032879807090621216, 0.03125710005408766, 0.03328745832603852]"
222,"[0.030603917449437912, 0.0332253380710722, 0.033618695129461806, 0.03271255854844124, 0.031443346645501524]"
223,"[0.03451613170418599, 0.030590466200813515, 0.031336327543975306, 0.032560859135516984, 0.03260668045257853]"
224,"[0.03068413441158291, 0.031150522038639217, 0.032622757152986015, 0.03182540865873196, 0.03530146812027646]"
225,"[0.03383848191615402, 0.032186308973024325, 0.0319991739638652, 0.03234711085824982, 0.03130401487004164]"
226,"[0.03206682137873951, 0.03338668128063005, 0.033688759056384465, 0.030953545537652838, 0.031537112837011105]"
227,"[0.02995144925084614, 0.030453165453395936, 0.0354800573206262, 0.03636777487240095, 0.02945756948347722]"
228,"[0.032226757401999206, 0.034256187629593704, 0.03289280329878008, 0.029731192418886, 0.032420593058609115]"
