,r2
68,"[0.17529579529428863, 0.14882364889252497, 0.1978323601908617, 0.179120880156876, 0.18116183178178002, 0.2110327968567398, 0.1952251850942991, 0.18790425574264857, 0.14691781191711228, 0.10393792980975125]"
69,"[0.2679343919989936, 0.12891990614320625, 0.17107359558509294, 0.21901262599474158, 0.15627647497090136, 0.13967589257514879, 0.09452583168158091, 0.23519307857428284, 0.1472651010579228, 0.16169446866673498]"
70,"[0.18386075452298933, 0.141848243099453, 0.16042634561745195, 0.1352614971011733, 0.2543812606043945, 0.18147280185444048, 0.1869535093352025, 0.13803310276372494, 0.09890515483375328, 0.2396116732696303]"
71,"[0.1835380675191729, 0.22252211470775496, 0.15451560063770609, 0.14106004842791653, 0.18492536285180883, 0.18068620112716371, 0.15216114650958523, 0.19070172518341344, 0.15218079004018736, 0.16364143431193]"
72,"[0.18012564470705483, 0.11550886442543506, 0.167504797863811, 0.24006345879351143, 0.18079311152364175, 0.16102310092149552, 0.16705241988954378, 0.15200031705224837, 0.2257724526704189, 0.12844711154759814]"
73,"[0.15979026955391262, 0.21432698455238897, 0.1799349484599373, 0.16674295746795664, 0.2081915203605571, 0.1411539430494665, 0.2364557079107038, 0.11982225887192499, 0.1303041859705556, 0.16453898763437613]"
74,"[0.12167765063813496, 0.22727800138638132, 0.13741783493297943, 0.1407253837915431, 0.180751060106361, 0.26315830766081416, 0.14654564880849263, 0.12820943515297312, 0.20090390660007262, 0.17578296693204865]"
75,"[0.1753902124765101, 0.14930272193656324, 0.2132419338317334, 0.24192509141191798, 0.1901465854626232, 0.09533306105786565, 0.15765996379203184, 0.19891332133742134, 0.133257516217396, 0.17253507091853104]"
76,"[0.11057752192895753, 0.1656893335913211, 0.1888356873920919, 0.18175010461700025, 0.17461293673786793, 0.21899765383627712, 0.16454359509059735, 0.1774331403847711, 0.17157506313373927, 0.1688365091434989]"
77,"[0.15297638500131783, 0.12444612393504928, 0.165985708408239, 0.2026497259125707, 0.15991211007761508, 0.19318025348785461, 0.19500131191607084, 0.17472909570553685, 0.19969129001006436, 0.167647822300662]"
78,"[0.1348706216883332, 0.09159063670924472, 0.2142962722167514, 0.20677247526217912, 0.13090674126325175, 0.17912148237697267, 0.2121773471797257, 0.19914413242700102, 0.1989510070201186, 0.1545885167965254]"
79,"[0.21225118300046653, 0.11227926495569907, 0.22641480187194196, 0.13222629979947464, 0.23395178784264614, 0.11240352331493753, 0.13508755794873972, 0.14951424427906668, 0.18654318891651778, 0.20287689095269756]"
80,"[0.15329600883351502, 0.1785413489601534, 0.1454645889862639, 0.1797810636678019, 0.15580946847727106, 0.17469999931097813, 0.17437654492422017, 0.20755152322082104, 0.178736622450129, 0.18017418427914433]"
81,"[0.20420776933276008, 0.15850248019964486, 0.1812558955709851, 0.1381994061599091, 0.18347221916855017, 0.190288298199905, 0.15761893299771335, 0.14668709963104987, 0.20743934093943406, 0.1540979797781742]"
82,"[0.150993389976401, 0.18967891881238585, 0.08812897082197713, 0.25070080247803483, 0.116159428213507, 0.20288423182500903, 0.1744412716279482, 0.1746981067689629, 0.17258903726029684, 0.2082112561613766]"
83,"[0.20139600145895142, 0.1775844344839248, 0.18660271402227602, 0.16116165033986296, 0.21967939044187623, 0.14604850597167152, 0.11300155697746417, 0.1675687921248824, 0.2021249276937167, 0.1520506560493563]"
84,"[0.18525065519503536, 0.14974111512950872, 0.15883984635388537, 0.19861366508319833, 0.15171772873944767, 0.21353896044585996, 0.15482679656479426, 0.2198026843368872, 0.1381220729716156, 0.15811647768456594]"
85,"[0.20321267435674661, 0.20205588939180152, 0.14673787501500524, 0.13724981059167274, 0.1750629080286118, 0.20301408978343505, 0.13592683108075587, 0.222481663686115, 0.17514885052911378, 0.11976989068444055]"
86,"[0.18453341219250308, 0.14422177127863856, 0.2467670851062258, 0.1418707455031094, 0.22902562443236796, 0.17302251582596317, 0.15889313618231782, 0.1280257506435688, 0.1603142857963371, 0.16119697285840218]"
87,"[0.1671978162272978, 0.15488875999425555, 0.23490827322344932, 0.14908328131309068, 0.19218038381928437, 0.12926079393216794, 0.18915083864787052, 0.1642823163467274, 0.17773214648338231, 0.17156723515460304]"
88,"[0.19472785523159664, 0.15569383019830352, 0.18693242820286726, 0.079602439277483, 0.157454150007575, 0.21053751374785445, 0.14773075326403506, 0.18376985851204275, 0.20874938705597357, 0.19154029695307495]"
89,"[0.14041053392264335, 0.14939101797695553, 0.23249567432129925, 0.21097280143669228, 0.16201160072969711, 0.25691961299093824, 0.15724318107916868, 0.10948566670518611, 0.14535808562078123, 0.158547799684025]"
90,"[0.21040425621260606, 0.20165563830271727, 0.1207040703021981, 0.22854066882484936, 0.2328541107740384, 0.20745697124065587, 0.13203514215800283, 0.1808913402969895, 0.16730058569663186, 0.05325058682781536]"
91,"[0.2234067774351901, 0.15301573476945995, 0.1367934968232185, 0.1164403217482507, 0.20023899858738603, 0.23435239420112564, 0.1992465656242478, 0.17007684762395037, 0.19585984192766848, 0.09394956892396333]"
92,"[0.1483234396434101, 0.1794985817103072, 0.21334411321727653, 0.16953352423035628, 0.1224455932734122, 0.16894559350522798, 0.13750054123689381, 0.17052697207906464, 0.14807371183146734, 0.2696264387998215]"
93,"[0.20299652236732513, 0.11037860795186627, 0.18200105927746035, 0.17007351414648475, 0.19169495292784344, 0.16807862991339007, 0.15281592452683646, 0.2101292997264259, 0.18708742436565262, 0.1547273251197827]"
94,"[0.21039716765127592, 0.13484419043374662, 0.11135869753506866, 0.1584152256842084, 0.15616845628068554, 0.22114407629729604, 0.1987419657373275, 0.17862497349435613, 0.22977680335291806, 0.13677910170077334]"
95,"[0.1713926078206942, 0.23484175397610685, 0.18425272001869852, 0.19923393373478793, 0.21906879014621827, 0.12390608892030308, 0.09078921200070544, 0.17227744876856999, 0.09689568532132153, 0.2280603783430678]"
96,"[0.1938193497582591, 0.16602269525642543, 0.09787205209828276, 0.1838932769009236, 0.16050874527129122, 0.15787470413501148, 0.1641482418447715, 0.2096260282002309, 0.19763201414445208, 0.19950418602153397]"
97,"[0.22998998946430727, 0.16176288964290564, 0.18029850792800517, 0.16504119723879174, 0.19094100712657447, 0.14099490917252422, 0.16824875939673845, 0.09700185843876119, 0.1656309602421594, 0.22142197393771157]"
98,"[0.21442038908890992, 0.17114067129621424, 0.18619135953787258, 0.17687307414103337, 0.23050002819764093, 0.1820519490082817, 0.09014738987350646, 0.1223745970593525, 0.23335765205433923, 0.13217677797114946]"
99,"[0.14477113174960576, 0.1952640327797216, 0.15875241308995403, 0.16671951108177285, 0.18076380842244533, 0.16794897168310274, 0.23051974949674314, 0.20256515943837128, 0.18709156328879029, 0.08594943704765412]"
100,"[0.18247253008324205, 0.165458163441489, 0.18453247967042163, 0.13720227502928373, 0.09374203210381837, 0.1797188547847114, 0.2063225736981955, 0.23653984228897418, 0.16839716277668415, 0.15763158988236603]"
101,"[0.2191288947291753, 0.17362168753216334, 0.1986641888756534, 0.21084418839361763, 0.12264934795312388, 0.18312989178101757, 0.1467750556059999, 0.13582457091870204, 0.15897099773150236, 0.1694703071846967]"
102,"[0.21700471303612967, 0.13768482478166078, 0.10827894196174159, 0.19193410046223047, 0.19246825663351763, 0.14550139544074647, 0.2316226465110921, 0.12359389579670854, 0.17964057073184803, 0.18976259618462776]"
103,"[0.2154373408188358, 0.2163250606710837, 0.13827037945385479, 0.1281150334883968, 0.13739107653360383, 0.1694926691569375, 0.22803536276287917, 0.1512425731482807, 0.17567945944855134, 0.1712119935238111]"
104,"[0.17328170032504187, 0.1637630305813209, 0.11991105415992853, 0.18050520889956378, 0.20248123515722538, 0.2027982922090963, 0.1658183143418459, 0.1746079490086868, 0.18625646337261192, 0.16232836279385077]"
105,"[0.16297280367059663, 0.2083554253493819, 0.23271335277476635, 0.1474348442228961, 0.2038241921754248, 0.14387289418986493, 0.21135141691490433, 0.06714139722053925, 0.1313583352843124, 0.21280353243430583]"
106,"[0.18636536426162842, 0.18100783211816496, 0.11558265542290935, 0.15756198739706306, 0.20935952000799496, 0.2567220778909979, 0.10511748773748408, 0.20961405349533258, 0.10314303944559333, 0.1913950501218935]"
107,"[0.15426938409670954, 0.18112929367000297, 0.22844285942532172, 0.2204655421396433, 0.155207645502203, 0.1385187904788313, 0.1634440290804433, 0.18623586626865962, 0.10674218865222607, 0.18963631141126758]"
108,"[0.13812999607589216, 0.1876870592810671, 0.15817963253217981, 0.2102578606338954, 0.20659022155528184, 0.15021188107004269, 0.2058907994641168, 0.12788889771761658, 0.1561525258445241, 0.18536369887152448]"
109,"[0.1945390200550976, 0.16383698851419481, 0.1375270071780249, 0.20409564904742616, 0.1446155324436209, 0.1631605563738434, 0.15666564938741234, 0.18548455829914345, 0.1628306595229847, 0.21126952756368056]"
110,"[0.17279680985772594, 0.1915270423307891, 0.17392906889164594, 0.20474246703013022, 0.157272165319287, 0.14147239941067113, 0.18612028591000107, 0.1565290269735934, 0.14919672747785695, 0.19972891922275637]"
111,"[0.2511480566015213, 0.19011537403537448, 0.1492199557432251, 0.1975789355587596, 0.19822531887429673, 0.13922389720711814, 0.16788430118952524, 0.19203892804622058, 0.11077805083051262, 0.11214934664808551]"
112,"[0.17492392172931426, 0.1060076076002423, 0.219021572397753, 0.2711487994431836, 0.12095125381633487, 0.151308742624221, 0.18035186415112048, 0.19420579403077465, 0.1604096886666928, 0.15835716340381867]"
113,"[0.17899470910948667, 0.18313808600641213, 0.17136393775749703, 0.1258200844135381, 0.24587934945062628, 0.19722867807988909, 0.18535441314475354, 0.21987177247224887, 0.1911577600507982, 0.016307447943012976]"
114,"[0.21320762618039968, 0.1789139607521507, 0.18517545379087186, 0.19384606443896213, 0.11294793368918876, 0.17393049239922798, 0.19821579872157102, 0.21314623237816188, 0.0831516466566723, 0.1764071465616548]"
115,"[0.16794524314577652, 0.16851981392624082, 0.17267904685460767, 0.2123861482980387, 0.11898073736163717, 0.11897469829180529, 0.20313154001305833, 0.158246069685411, 0.15239317018684062, 0.25743196083842634]"
116,"[0.1546157114496014, 0.17937759385629537, 0.14571394169432528, 0.15956605035000582, 0.21667095918551005, 0.08398614970460505, 0.22773031663220433, 0.19177531206507037, 0.18972689856907277, 0.17117370011582111]"
117,"[0.20276840628126003, 0.23188955875930872, 0.24192129782690153, 0.15895917053659492, 0.14836197401775586, 0.08284629379116037, 0.1529910329486085, 0.16751028489822395, 0.15224515628666824, 0.18661510804818315]"
118,"[0.20539436315159076, 0.08739547436220141, 0.198924322797133, 0.19036241985546087, 0.17145051149235246, 0.11423472565794868, 0.1700452514043358, 0.24112789422971237, 0.19075336878542126, 0.1587564696896382]"
119,"[0.11151291617362669, 0.13270518000892362, 0.24914317651922357, 0.19856785329307636, 0.18503893999666654, 0.22319399961212139, 0.18685196903042234, 0.20022933919954378, 0.13843960834202518, 0.10647355966791328]"
120,"[0.19658237558681546, 0.18913291367821827, 0.17554491883727974, 0.09697665953879253, 0.15660328337705642, 0.1713099910759558, 0.162591823294703, 0.18352390298024412, 0.2049567218173377, 0.19104099513612793]"
121,"[0.0997568661707996, 0.2135292963572588, 0.17462067453037144, 0.19364673395290566, 0.12663981528252322, 0.19105225231483414, 0.1691537640903369, 0.12663608919085156, 0.2006553030088566, 0.23224717838193853]"
