,imv
100,"[0.16889649737938467, 0.12993736312763418, 0.04742267523522774, 0.1575995384583322, 0.13585252123893654, 0.0976366661526122, 0.11670344591631812, 0.13086760729647873, 0.1200572950403074, 0.10933230417710568]"
101,"[0.11155629003512713, 0.10372939101918878, 0.1376612893072456, 0.13567149120071165, 0.08451868149835286, 0.11594019683956523, 0.12835455603280613, 0.14530553780652994, 0.157163956385616, 0.11208147124439244]"
102,"[0.10104951195656096, 0.10558133883444391, 0.14964547235257955, 0.12168851747527092, 0.11861465059142383, 0.12583652539639656, 0.10641948832394249, 0.10688584066978922, 0.10517118055676622, 0.174860189974504]"
103,"[0.15578621827660533, 0.13043104026181673, 0.17106333219289513, 0.14636751186444283, 0.05821108003935922, 0.08693368417021541, 0.11833441455088509, 0.09848463284439686, 0.14745123774051008, 0.0849102082680232]"
104,"[0.11483472479220676, 0.11835820761704033, 0.1174237383408193, 0.1046485864007429, 0.11417472242167541, 0.1130049166146461, 0.13720008022240615, 0.10611298846367823, 0.15291838201991415, 0.13479887661648698]"
105,"[0.14224005928403782, 0.12822644880668296, 0.11394256447176497, 0.10535022132146658, 0.0954366679669156, 0.07693957439793865, 0.14976634183831, 0.12168998339209523, 0.10626583554317498, 0.1739915308239459]"
106,"[0.14942380545864822, 0.18340773382732595, 0.12427465493742793, 0.10106414383627574, 0.10933588757218064, 0.1116010665608557, 0.08623637397577176, 0.13102594707902887, 0.12492364919040885, 0.11080014479548536]"
107,"[0.10483452903572575, 0.11492494986835396, 0.2072499704419932, 0.07337883865704582, 0.10810958775519286, 0.12657659737492796, 0.09173841491807734, 0.10140284553056632, 0.11807811001638814, 0.1730850582708229]"
108,"[0.11817559494360998, 0.11217991595276848, 0.13235395680484022, 0.1338086108089096, 0.14886163660106752, 0.0736814719011287, 0.1230224728706656, 0.10672832046831225, 0.107439928170898, 0.17324571052520873]"
109,"[0.14909532845854664, 0.17529986317198976, 0.13767443373108515, 0.15616913957784806, 0.11546664095453925, 0.10007962623179163, 0.08446650933956519, 0.08982883256803006, 0.0961230537024075, 0.11387204005193631]"
