,imv
98,"[0.09476801644717726, 0.10168400550402351, 0.1243670895729412, 0.14547337464853236, 0.12738767621691713, 0.11578016500351798, 0.09839923049358365, 0.09311000724850808, 0.0736996135675035, 0.11420653766210927]"
99,"[0.07244844994553469, 0.11957449305601363, 0.13768035965412231, 0.1345382053742311, 0.1235080977351231, 0.1080882857157834, 0.11063543884867527, 0.07628614437856233, 0.0815863937976952, 0.12067085959591492]"
100,"[0.15190761327001198, 0.12829976132280208, 0.041281444302825286, 0.15008480548591843, 0.12342465398363058, 0.07448834456196286, 0.09864307765317681, 0.11321575724892215, 0.11534938595044578, 0.09753456683202527]"
101,"[0.10710978136936508, 0.09678253922196346, 0.1200970812865618, 0.12812732241891236, 0.07508140508044145, 0.08869077445893593, 0.12361183805708204, 0.12791626418250573, 0.14193091061926835, 0.10241156154306154]"
102,"[0.09309273951267834, 0.09064290524095249, 0.1332304797332057, 0.11356755477625768, 0.10461461619212596, 0.1183595338636661, 0.11206204192187733, 0.0911288007972945, 0.09388573739635162, 0.15305724858857253]"
103,"[0.15040496645167217, 0.12309399675383331, 0.1607258059281121, 0.13751738724844398, 0.04440700712024313, 0.08019231606137935, 0.09960558654911084, 0.08361177982772895, 0.12449455384518508, 0.0826367066499679]"
104,"[0.07430708713469088, 0.1172249623280919, 0.09749772183743445, 0.11279665321967028, 0.10109483898629022, 0.09964096757148029, 0.12722132006806888, 0.09488234641750766, 0.1314919591397006, 0.13295487758773075]"
105,"[0.1209783815085642, 0.10989552473312399, 0.11278664723896673, 0.08980173663943099, 0.09976875480906444, 0.06214962459580851, 0.13029896256948748, 0.10760464673044405, 0.0996993215504089, 0.17903966317867695]"
106,"[0.1390551415273661, 0.1636040738734673, 0.10813397467133136, 0.09310051724491872, 0.09008312296791258, 0.09572797589578258, 0.08449740814335706, 0.11573178674370772, 0.1278114016591383, 0.1038930592055441]"
107,"[0.10306844552847477, 0.0930629607691761, 0.1923782559105213, 0.08070248868923656, 0.1016811969612114, 0.09641605127709638, 0.07445674633087106, 0.10262800868222637, 0.10672048565117229, 0.1535342065846006]"
108,"[0.11768434936140772, 0.09999694771520648, 0.11122847423022027, 0.12398775281594149, 0.13377955880213133, 0.0725451855817059, 0.12264443558751736, 0.08728022383328884, 0.10964958605369195, 0.13979484614756119]"
109,"[0.11938680529097108, 0.15106397068246408, 0.1336699041469962, 0.14872453158424867, 0.10515751123902876, 0.08636480300832247, 0.08516841576751707, 0.07908112173620219, 0.1002595122228365, 0.1034098576836362]"
110,"[0.11038697770623108, 0.06682604058807283, 0.1521718512968267, 0.143668913501119, 0.1027473612654974, 0.12982579862286855, 0.06788911805520564, 0.12639138142556655, 0.11448225242963336, 0.12112785322181906]"
111,"[0.13355347695768896, 0.1677584283907628, 0.0874981887647678, 0.07834765453509226, 0.0995018057078637, 0.1343005912240437, 0.13745931138954162, 0.10383269468334481, 0.10863712058179616, 0.06758120843645586]"
112,"[0.10227458711963347, 0.17737508872793276, 0.1027040782093257, 0.05926403995719952, 0.14794003534241446, 0.0895217652554012, 0.15930711282107887, 0.07644202259199069, 0.11811832602647732, 0.07823801267692373]"
113,"[0.1010615203163846, 0.11150515628909291, 0.0841993338506724, 0.16051286413509475, 0.0711954532388536, 0.10687984138616875, 0.09282949459893643, 0.12410194166632602, 0.14274494674233038, 0.09946982004887485]"
114,"[0.11764523898928245, 0.11504598891221422, 0.09283392269103341, 0.13368381842735616, 0.11646194162382213, 0.10023704468095669, 0.12191965424793917, 0.09079263739730252, 0.12521038711820645, 0.07622429004642128]"
115,"[0.14665241325513315, 0.09826493663597077, 0.06137811663195808, 0.053174175597190496, 0.17122267165705607, 0.10843088146437764, 0.0923760426688941, 0.143168270987073, 0.0910695271292038, 0.1690618318896282]"
116,"[0.11134048779884001, 0.14267279601789853, 0.1425896704632839, 0.14182162023977118, 0.09653760379986735, 0.07958020483174832, 0.06420018230599603, 0.09647995826176725, 0.12661402860147625, 0.10696729330886284]"
