,roc_auc
144,"[0.7640051187429319, 0.75620816985922, 0.7299579489962019, 0.7230239619028422, 0.730801924529979]"
145,"[0.7466441826906943, 0.7663463432152828, 0.7273538244126478, 0.7276491253226269, 0.751387442104086]"
146,"[0.7602890905513748, 0.7471333014811277, 0.7258151231356226, 0.7429975604978721, 0.7424357557336281]"
147,"[0.7609897810218977, 0.7125758950380346, 0.75907409409193, 0.7343732528234372, 0.7511185682326622]"
148,"[0.7713319458896981, 0.7391554999770548, 0.7535860960657105, 0.7406628316304629, 0.7052238805970149]"
149,"[0.7721139341244107, 0.7229354761044902, 0.7435225375626044, 0.7215160129960547, 0.7608841278717554]"
150,"[0.704087624480209, 0.7516978381453563, 0.7603306687633773, 0.7594336606265659, 0.7429365307984062]"
151,"[0.7280554744525547, 0.7376596980255518, 0.7184373134852369, 0.7562862613135297, 0.7754027481639423]"
152,"[0.7425598305278828, 0.7296619248854235, 0.7421195491827461, 0.7534092994448777, 0.7409172661870504]"
153,"[0.7194389717609532, 0.7618471412589061, 0.7482792083229898, 0.7473651272693244, 0.7377783781244127]"
154,"[0.7422744525547447, 0.7323011138315116, 0.7458576739245886, 0.7405900772788645, 0.7578697613230596]"
155,"[0.7430512624701504, 0.7397172538604366, 0.7435846788045344, 0.7313887353780971, 0.7587012660542072]"
156,"[0.767783556014719, 0.7473783096311711, 0.7403451181406453, 0.701491549230911, 0.755107830331972]"
157,"[0.767263853342063, 0.7728674540682414, 0.7480315885961408, 0.7089035803211128, 0.7251342159260197]"
158,"[0.7511492000142537, 0.7103715170278638, 0.7662078924347191, 0.77404131637341, 0.7256149984746374]"
159,"[0.7474265330388992, 0.7424825174825176, 0.7339444080709481, 0.7696916494792643, 0.716255556157034]"
160,"[0.7344143356643357, 0.7420205400415416, 0.7548048048048048, 0.7398856984035994, 0.7500291253087283]"
161,"[0.7328628309060908, 0.7380568832241694, 0.7173244236629679, 0.7534985596672747, 0.7709672785773793]"
162,"[0.7387067869117817, 0.7201108263408583, 0.7412273696939276, 0.7602812339810803, 0.7616797135243172]"
163,"[0.7173159241456823, 0.7616546863005094, 0.7411008998010489, 0.7519071310116086, 0.7381614396242056]"
164,"[0.7204195432819969, 0.7424354865913307, 0.7116812354312354, 0.7647512188127329, 0.7739991877465769]"
165,"[0.7366172540654548, 0.7550784701947493, 0.7415026376992455, 0.7305634709072524, 0.7402736521502482]"
166,"[0.7511666105610177, 0.7379471460032142, 0.7532448836218314, 0.7416992870124424, 0.7214134516112288]"
167,"[0.7641556526178456, 0.7548794786027104, 0.7486608054384511, 0.7405872044586169, 0.7060746967122715]"
168,"[0.7135733856922581, 0.741943935781824, 0.7484485664184373, 0.7430212454212454, 0.7640067153079658]"
169,"[0.7819353070175438, 0.7424642160434344, 0.747457385659779, 0.7265745141898504, 0.7121531278505928]"
170,"[0.7579133706128387, 0.7488842870910009, 0.7627598186421716, 0.7463820571220068, 0.7036928452973229]"
171,"[0.7417706637728342, 0.756995053088803, 0.7455283847843681, 0.7427379801050014, 0.7359560522691946]"
172,"[0.7563700169787407, 0.7303300288618396, 0.7646793852676206, 0.7312736594235297, 0.7392279114662835]"
173,"[0.7461394612454684, 0.7208315554923435, 0.7572470128380672, 0.7408428059684653, 0.7540358235350348]"
174,"[0.7597744803627156, 0.7432209656108707, 0.716272992486962, 0.725752404591995, 0.764994628346896]"
175,"[0.7549120124190503, 0.7490114464099896, 0.7411547433903576, 0.7381239887693919, 0.7344502134148037]"
176,"[0.7122466506355204, 0.753979019714234, 0.7503658464625007, 0.7391467769216313, 0.7479029251505592]"
177,"[0.7288183605041045, 0.7149621212121213, 0.7588350364963504, 0.7714382880761784, 0.7471687166395915]"
178,"[0.7609564522295207, 0.7145317725752508, 0.7292339402267262, 0.768515750915751, 0.747446880143648]"
179,"[0.7667286460686523, 0.7184434745261007, 0.7378066657284923, 0.7449570887957832, 0.7571464824985952]"
180,"[0.7493988320164893, 0.7455530715396578, 0.7243506131549611, 0.7669904623191129, 0.7302261806963316]"
181,"[0.7477541573804217, 0.721075500770416, 0.7522058403337335, 0.7622465247511125, 0.7302122652500116]"
182,"[0.7515859766277129, 0.716652026603087, 0.7643552935144834, 0.734571392659628, 0.7414534798534798]"
183,"[0.7238557119310258, 0.751539415686535, 0.7438557005606345, 0.7519447067914484, 0.7508443932867099]"
184,"[0.7490099184431335, 0.7363768303288128, 0.7460007601147081, 0.7410536087259225, 0.734020069368446]"
185,"[0.7439704410292646, 0.736308286997806, 0.7597751824817518, 0.7494118776705555, 0.7294968542888676]"
186,"[0.7283121493186764, 0.7391426135671659, 0.7256382179952445, 0.7537555635418683, 0.763365206383652]"
187,"[0.7665982735036841, 0.7630574962843334, 0.7332626272122594, 0.7258791757875702, 0.7299891848816029]"
188,"[0.7307595130091428, 0.7538317544954337, 0.7327010807108778, 0.7605331689838732, 0.7403082993072442]"
189,"[0.7109153257104462, 0.769302936485599, 0.7159766423357664, 0.7479091575091574, 0.7691114366974059]"
190,"[0.7211795780766692, 0.7551745814046517, 0.7556221675662134, 0.7430806257521059, 0.7411802555381928]"
191,"[0.7265441912500736, 0.7702997022671717, 0.7417930660888408, 0.7404928847747997, 0.7287545372050818]"
192,"[0.7332602303654743, 0.7559057597618231, 0.7439681828109015, 0.725633691743616, 0.7452368596634295]"
193,"[0.7276533339640939, 0.750753777261611, 0.7419611956573271, 0.7477648030195801, 0.7488562176994135]"
194,"[0.8037556772562224, 0.7285139860139861, 0.7406729634002361, 0.7163315336349044, 0.7314330666292345]"
195,"[0.7662224281081851, 0.7223423661144508, 0.7685055947146813, 0.7425405248194115, 0.7228625910746813]"
196,"[0.7557300659933297, 0.771062727909822, 0.7295609277636741, 0.7323032442388956, 0.731321764205187]"
197,"[0.752174074624647, 0.7379239375175908, 0.7349298292453597, 0.7539282928843418, 0.7362828794925769]"
198,"[0.7426489146895507, 0.7390937236138475, 0.7486369179998564, 0.7407011791202966, 0.7511012947819314]"
199,"[0.7684575330183799, 0.7551677523129399, 0.7252221677180893, 0.7347502078544529, 0.7348477729750047]"
200,"[0.765360157243612, 0.7411951413050113, 0.7477972953355146, 0.7384469533741274, 0.7151095698106025]"
201,"[0.7229167848431561, 0.7471182977933067, 0.727003121748179, 0.7635141432499184, 0.7533096476758449]"
202,"[0.7354580474298784, 0.7618042367516731, 0.7560381177264295, 0.7117174001822008, 0.7509748406347485]"
203,"[0.7231440444876831, 0.7735702220077221, 0.7346813725490196, 0.7514247420822634, 0.7217304140199127]"
204,"[0.7545803782505911, 0.7296377945289907, 0.7468745284223477, 0.7382873319179052, 0.7477837085170573]"
205,"[0.748388603732526, 0.7466085102932147, 0.7493797469835809, 0.7388666298240767, 0.7370223681391538]"
206,"[0.6986662102595514, 0.7556349401397324, 0.7462082645788716, 0.7638034789377564, 0.7446730305025238]"
