,r2
173,"[0.04137791906747479, 0.03795139921461965, 0.03617065808256725, 0.04115008243345253, 0.03597051691507358]"
174,"[0.03653746113596201, 0.04115475033409022, 0.04007119109706092, 0.03597610856860933, 0.03880769498206216]"
175,"[0.03764843509610216, 0.044363214576405685, 0.03927140730591605, 0.03298003976960162, 0.038068430305239986]"
176,"[0.034332312528986164, 0.0373321263907469, 0.0399480814514549, 0.04007504700679865, 0.04080121328505615]"
177,"[0.03720822689644254, 0.04180704809385727, 0.03815256564756275, 0.036557452525716294, 0.03872838817577784]"
178,"[0.04077656284594433, 0.04040372840646622, 0.03691398795832024, 0.03854141746468931, 0.03588201384611156]"
179,"[0.036987620598353144, 0.038769270668859934, 0.04063014199529347, 0.039082424214517575, 0.036844252626171414]"
180,"[0.03815440736219511, 0.042701618234245564, 0.03763002134016402, 0.0379741279448953, 0.03587982053883687]"
181,"[0.03638090226078261, 0.039980566795914885, 0.039947559071067396, 0.03532953456084165, 0.040827675943407526]"
182,"[0.038270098159333465, 0.03967479774111926, 0.03884969991193932, 0.03907299689909227, 0.036673228318756745]"
183,"[0.03154699603658895, 0.03787790722632167, 0.03932515974403539, 0.04167523694271136, 0.04191700598505077]"
184,"[0.03890045820837984, 0.04059134377027218, 0.037635493705467926, 0.037565872364433095, 0.037630856402032675]"
185,"[0.03910238529625387, 0.03784549596485276, 0.03393725804875325, 0.04060576880873623, 0.040835094223263035]"
186,"[0.03687849863721515, 0.03762238153117603, 0.03580479465668418, 0.03960119964168385, 0.042362962776307245]"
187,"[0.04048293795935287, 0.038533893508592376, 0.038132082792770916, 0.037804009628743085, 0.03758638023063543]"
188,"[0.039642340730205006, 0.03797866850866638, 0.034908905166368576, 0.039251028552042655, 0.040922449392969185]"
189,"[0.03856291713097271, 0.03859580240889782, 0.04006166506561981, 0.03945415969591948, 0.03598474363084736]"
190,"[0.03625571896648194, 0.03779165670910434, 0.04091761296217333, 0.03945008051819077, 0.038178653957349984]"
191,"[0.03767679629468379, 0.03865611468480923, 0.03828484006157229, 0.03380424956997419, 0.04398990555760174]"
192,"[0.036522812727347254, 0.03921237053469406, 0.040253652831618636, 0.03839560302559142, 0.038119660925872045]"
193,"[0.03832366969557732, 0.03578637608009938, 0.04029170758670275, 0.040777497806322116, 0.03732010834804467]"
194,"[0.0377535257114876, 0.03837665143379443, 0.038261086643331055, 0.039467339032324245, 0.03852161530384912]"
195,"[0.03880237330075653, 0.03709936798256008, 0.035044636213797054, 0.04185718879064304, 0.03984086320785829]"
196,"[0.035027909750785846, 0.0409624008602365, 0.0367350824201933, 0.041303110366970985, 0.038368850475654415]"
197,"[0.035964725914159446, 0.039626885921253296, 0.04022051181662534, 0.03861029882688971, 0.03811892498775871]"
198,"[0.03904670401777688, 0.04058167400295598, 0.036245544748697345, 0.038419854679273224, 0.03821451076976612]"
199,"[0.04204122570149116, 0.0384536402508705, 0.036202881997181025, 0.03764218556182275, 0.03803059666677733]"
200,"[0.03968741943747467, 0.039586316010089106, 0.033744046263760374, 0.04057244418050232, 0.038615722023508936]"
201,"[0.03974948536781442, 0.03972103017669737, 0.03355596449228759, 0.03918254312200642, 0.04012250410964968]"
202,"[0.038075598173892056, 0.03994076527973445, 0.041207987972446625, 0.03747583807476362, 0.035884389177876064]"
203,"[0.036201603509326, 0.03960481369813551, 0.03502302912211175, 0.04039434555660559, 0.041107723970271515]"
204,"[0.04374502028177718, 0.03797064537358763, 0.038076820450000826, 0.03502720771379553, 0.037532206034883164]"
205,"[0.03452426203671821, 0.040060446692373075, 0.037485654984968586, 0.038980352936119456, 0.04146098787212937]"
206,"[0.039505992675540114, 0.038841720317376316, 0.038534580221164516, 0.0385936185169069, 0.03698766176073787]"
207,"[0.04109849189495807, 0.039311107104414766, 0.03675409285215303, 0.03392156141190694, 0.04146887203766991]"
208,"[0.0372928500572951, 0.03631760849912413, 0.039206375444950536, 0.04081354298253437, 0.038920221968441915]"
209,"[0.03949841399875709, 0.03929911031719757, 0.03857026696600474, 0.03854554432464108, 0.036610722776025506]"
210,"[0.04160939017377352, 0.03563879750806709, 0.03760200198519603, 0.03831851082168192, 0.03946979778954118]"
211,"[0.03646292904320647, 0.04072057020195685, 0.033255935836009054, 0.04025695825481357, 0.041730772395639604]"
212,"[0.04048030037738348, 0.03636246257305731, 0.039263345681063044, 0.03918434267169246, 0.03726873067823189]"
213,"[0.03919019269901558, 0.03775378376273075, 0.03867173243042188, 0.03578676757580901, 0.04108364740196713]"
214,"[0.03800702078257534, 0.040035184725774164, 0.03537677567255926, 0.038744571553485985, 0.04020364321957903]"
215,"[0.03615063817859754, 0.03780912281033966, 0.037655638139398206, 0.03953219085248394, 0.04137834051542044]"
216,"[0.03953726831441351, 0.03714270744744397, 0.04368748499932884, 0.03961092477286943, 0.03249816825281071]"
217,"[0.037325247600469624, 0.040652460412214375, 0.03985524562727849, 0.037506290884983584, 0.03737606971985452]"
218,"[0.04141671497941013, 0.03928082846848813, 0.031379177153621374, 0.041043634802752305, 0.039099487489051454]"
219,"[0.03710601871518293, 0.03835119284122945, 0.03936929912011855, 0.03948929986399741, 0.0382483299824008]"
220,"[0.03792923810011306, 0.03646270130683027, 0.040228851511779906, 0.040674378293719005, 0.03719703505388883]"
221,"[0.035901368709032155, 0.04104175770317431, 0.03805257455466704, 0.038292383325931656, 0.039154618864544855]"
222,"[0.038323121547546135, 0.03916675283342608, 0.037691185740757915, 0.03984120191802165, 0.037526234446288664]"
223,"[0.03496699828856498, 0.0403747462378059, 0.04024365492077164, 0.0363196539666959, 0.04051977717181987]"
224,"[0.03705351477167007, 0.03791946613975694, 0.03859262682949938, 0.04105297710447431, 0.03783833972021755]"
225,"[0.03992068150380157, 0.03764515618562958, 0.0386832282991274, 0.040055230608144976, 0.03626691275111438]"
226,"[0.04017489762681392, 0.03739580917283536, 0.036476506180023294, 0.03993560593525547, 0.03859998831354239]"
227,"[0.035277641034184515, 0.04138106103194705, 0.036448500269845696, 0.042746002574610475, 0.03657816764887789]"
228,"[0.03705584710797338, 0.038482397186475614, 0.03820429564273098, 0.04398036879715328, 0.03493935885352639]"
229,"[0.03909143351407074, 0.037275948461846564, 0.03450779331421583, 0.043531849874142714, 0.037893770613810496]"
230,"[0.03685151996472025, 0.04117681614018742, 0.036530357162834926, 0.0400742449480862, 0.0380204205691651]"
231,"[0.03635311746699299, 0.03991821448332933, 0.03488064182667905, 0.04258222101949727, 0.03863814007079658]"
232,"[0.037764689482163716, 0.039443424897491974, 0.03830534114496731, 0.04136662410781111, 0.0356298720567938]"
233,"[0.03915931500167036, 0.04303981312248739, 0.03754092457739777, 0.03933979783334873, 0.03333246746111418]"
234,"[0.04150053889503891, 0.041691432315840715, 0.03643174191989784, 0.0385469106934474, 0.034340123047605364]"
235,"[0.03798006846327873, 0.03707439320436745, 0.037089857164265716, 0.039131721774636086, 0.04133780164189471]"
236,"[0.03930390289048791, 0.04131489936810806, 0.03652821061106504, 0.038199918947393385, 0.037154884465449234]"
237,"[0.03757526308096504, 0.03671473426399452, 0.03861282846060632, 0.03880599348933267, 0.04101001582074659]"
238,"[0.039313935343263995, 0.03806094399940396, 0.03426195287486944, 0.041018140303004325, 0.03969837779894125]"
239,"[0.04200377282537515, 0.03547089716855101, 0.03659900737876909, 0.03552852686389629, 0.042845972579382496]"
240,"[0.034760599667002956, 0.038676228457398376, 0.03921827967991309, 0.04112684057774585, 0.038672866347341794]"
241,"[0.03591264130117422, 0.037375944522567095, 0.036619288792527294, 0.04231688991518234, 0.040206643823249455]"
242,"[0.03763257189830027, 0.03802493032455778, 0.03818180081486022, 0.03976567223932115, 0.03902756604253865]"
243,"[0.0399938572030083, 0.038669613753902654, 0.0365883878450558, 0.040084964287591784, 0.03688264515011419]"
244,"[0.039290172741898055, 0.036480840518446134, 0.03931091690709865, 0.03887223395438588, 0.038837658707680744]"
245,"[0.04061565356320196, 0.040267163392934124, 0.0374825939515856, 0.03626679556006429, 0.03800798009499229]"
246,"[0.03778781171215684, 0.03859914295194311, 0.039540036533942446, 0.0387875750507517, 0.03786820676387037]"
247,"[0.0380707327765164, 0.04007258244070533, 0.039417291613313976, 0.036875404079734664, 0.03790089205881764]"
248,"[0.03772456567181659, 0.040375184682448495, 0.04175564075602989, 0.03891795393716779, 0.033804657907309243]"
249,"[0.04177024688172659, 0.034807834347212685, 0.03839419305827352, 0.03775414421215806, 0.03961193301851007]"
250,"[0.041927358215720356, 0.03712796673919461, 0.03806763210616637, 0.036865636412444114, 0.038458527807133325]"
251,"[0.03799245098116544, 0.03802690787582752, 0.04059200833095322, 0.03928877395780017, 0.03663922705379352]"
252,"[0.038507484920937696, 0.039027301593811625, 0.03750558261124948, 0.04039491659425953, 0.03713073810731149]"
253,"[0.04068721191093505, 0.03884226314823214, 0.03781825607809475, 0.03968470256989265, 0.035317244934715886]"
