,r2
87,"[0.1562986464931848, 0.13552079383159232, 0.21511961051639084, 0.11820653585026542, 0.1778544264885511, 0.12765656826384786, 0.18984253281375052, 0.13276857941904374, 0.1363556009429958, 0.16995346415826473]"
88,"[0.1928117427256012, 0.14226108386800618, 0.17663091752830573, 0.04916949368949075, 0.14001401613710074, 0.1863828184261066, 0.14089571905309894, 0.1625408960829191, 0.18701911821646466, 0.1764130279450149]"
89,"[0.14274868527836915, 0.13089328284805857, 0.19690962176986826, 0.18851952411778228, 0.13158105574842005, 0.23144170587077717, 0.1483796830288311, 0.11453860104778901, 0.13797788263539212, 0.13258060428600726]"
90,"[0.17769307301823756, 0.18041927717876105, 0.10467407929516048, 0.2066435749667883, 0.20235749576308382, 0.19675467116952505, 0.11551691307139567, 0.18193906941479254, 0.15136333590726458, 0.03835429442592886]"
91,"[0.19246671404588844, 0.1338076421429466, 0.1479325097871682, 0.10791271149451198, 0.18661595923033736, 0.20485763113225308, 0.19701698834837467, 0.15228625416977026, 0.16838895857262148, 0.06419792256035395]"
92,"[0.12170998187397353, 0.14662861530813476, 0.18999480315763373, 0.14913877413056087, 0.11776940236479383, 0.1524790925863143, 0.1210491307519953, 0.17669514596790314, 0.14322082794090418, 0.23495627073395808]"
93,"[0.16248930225703406, 0.09094901569107594, 0.1616213904678374, 0.16477043445933504, 0.18118476808255635, 0.1502653542765482, 0.1339580665034077, 0.19760911617577281, 0.16892246943258282, 0.1500381006609155]"
94,"[0.2057207785004409, 0.12550331380166635, 0.11051386132456653, 0.13404972660807768, 0.1416925609249995, 0.1949995532252522, 0.16521621522943897, 0.15248021381132992, 0.21278813545968867, 0.11366518603543552]"
95,"[0.15763882302435284, 0.21741549794131787, 0.15840679845702177, 0.17465680890308166, 0.18632821918702314, 0.10083592189829627, 0.08295350922331757, 0.1405764819534825, 0.12576009526311338, 0.21042159506058722]"
96,"[0.16329146173304288, 0.15580518715911007, 0.09210090383671354, 0.1473550820613988, 0.15245905075408783, 0.1290532612737667, 0.13776258895745808, 0.2126044352468216, 0.18203846442918592, 0.1842879832267711]"
