,r2
207,"[0.03621405632926211, 0.03251052649330044, 0.030549198119037335, 0.02707112753146479, 0.035219802669189115]"
208,"[0.030993378334759125, 0.030967496792411286, 0.03312021058898307, 0.034162668360346315, 0.03256210423047534]"
209,"[0.03231569170574711, 0.03332365084788447, 0.031314092785995506, 0.03429844988321007, 0.030500807019442133]"
210,"[0.034913622037740843, 0.030962571960564178, 0.03277448945734551, 0.03075808195334062, 0.032307478626112496]"
211,"[0.030960982116274183, 0.03411417211803536, 0.02797929864228732, 0.03394655909563227, 0.03463363187031132]"
212,"[0.03300459307655401, 0.031271481780281274, 0.03433115173514345, 0.03137229637060568, 0.03175386713986772]"
213,"[0.03347572506984409, 0.030574999070459796, 0.031069852388254104, 0.029618557275708057, 0.036847976321811804]"
214,"[0.03279485257633352, 0.033929942872605534, 0.029533394565622317, 0.030870612524025343, 0.03451997402320772]"
215,"[0.030262178951104612, 0.03198997777244872, 0.031095739694886992, 0.03322651091011197, 0.03507301636483484]"
216,"[0.0324386178296967, 0.031814333126965355, 0.03587290880035421, 0.033599551340501965, 0.027855698264866335]"
217,"[0.0315280089271035, 0.03304069471169635, 0.03437922927934178, 0.03165577984485979, 0.031146812959328085]"
218,"[0.034422531127435874, 0.0347394428566975, 0.02755939075694347, 0.03264787650822909, 0.032276315441204906]"
219,"[0.030546935426342237, 0.031656156005424485, 0.03429287974602291, 0.03258038986418488, 0.032588624494475193]"
220,"[0.03119938942730638, 0.03172013851457056, 0.033434138061533614, 0.033982895764663734, 0.03140932864410373]"
221,"[0.03145388898148649, 0.03418594401848474, 0.0319124975593823, 0.03136791915787751, 0.032818799248686914]"
222,"[0.03131744676107695, 0.03309918433303405, 0.031771133061066825, 0.03459622830805442, 0.030860945661687733]"
223,"[0.03112329490686283, 0.03408120309705254, 0.033713988333588185, 0.029357022566294466, 0.03343905844900119]"
224,"[0.030836502966410273, 0.031859592825359995, 0.03239481585744308, 0.03339870413857993, 0.03321461269674508]"
225,"[0.033455813050056626, 0.03131058432382272, 0.032816321043440455, 0.0343849618214086, 0.029807468725384534]"
226,"[0.03297065812757394, 0.03150880390256483, 0.030576503598812366, 0.03299623632086435, 0.03361461008091993]"
227,"[0.030029715095220233, 0.0329669022349387, 0.0298892917214868, 0.03720767534612768, 0.03147566925891332]"
228,"[0.031161429212460567, 0.03330401455884435, 0.03233177541173027, 0.03484642137868854, 0.03006376173822123]"
229,"[0.03392251225514897, 0.031189412256299343, 0.02885823078181693, 0.03497804530273385, 0.032539657892842744]"
230,"[0.031774109907727444, 0.035357957053688716, 0.030656804181000474, 0.032501070088418405, 0.03144095111161371]"
231,"[0.03113927341487288, 0.03433331393160166, 0.028861501998680095, 0.03467360426445931, 0.03253480794803487]"
232,"[0.031672144086517307, 0.03365937938201102, 0.03264807473006981, 0.03270198888839404, 0.030967599110169552]"
233,"[0.032837802328562815, 0.035352464396037564, 0.031581149838930345, 0.033523866285967596, 0.0282679614551945]"
234,"[0.03636616113081281, 0.03377278589489463, 0.030693779442450553, 0.030897060203095128, 0.02996913203631435]"
235,"[0.030922658264982972, 0.03204960492707065, 0.03020188037701954, 0.034170045942086835, 0.03434937172828867]"
236,"[0.033032467168037205, 0.033982382391469446, 0.030171796185119892, 0.03175387405618035, 0.032757413678145775]"
237,"[0.03222254998887086, 0.03176243547847557, 0.03075072799767975, 0.03315558749215741, 0.0338901188655133]"
238,"[0.032409628148678093, 0.032773103033949647, 0.02901889126388868, 0.034917175806650325, 0.03250007254011478]"
239,"[0.03355139282386599, 0.03085502738978807, 0.03307888010534088, 0.03077028924781877, 0.033544824617839475]"
240,"[0.029496943300037826, 0.03337132740921389, 0.03221849187144221, 0.03460079044398234, 0.03196673807000838]"
241,"[0.030003178501207484, 0.032253502456011995, 0.02940464447234903, 0.03651062316136622, 0.03332386375616181]"
242,"[0.0314745978824188, 0.03155514800222203, 0.03219479489875465, 0.03467698246817785, 0.03182034179896698]"
243,"[0.03292301747312998, 0.03215797129652587, 0.03133149858759465, 0.03401179945798616, 0.031059391637446754]"
244,"[0.03262023467648845, 0.031166449734267077, 0.03350802194000191, 0.03245362866275081, 0.03211233809754599]"
245,"[0.03364388230656701, 0.03378650301788033, 0.030915153806014728, 0.030398956864536752, 0.03300982259234886]"
246,"[0.032692215331286856, 0.03278438361873337, 0.03331809782871975, 0.031905504157050735, 0.03108243392709842]"
247,"[0.03127696604333985, 0.033174898072560244, 0.03393219276372916, 0.029876601835245875, 0.03335773523844099]"
248,"[0.03028689805178253, 0.03470095458112976, 0.03537229158246458, 0.032203878110937834, 0.02910742558859092]"
249,"[0.033209000877787775, 0.02936685245183368, 0.031235199691401982, 0.034676137567243415, 0.03313583130097186]"
250,"[0.034627793325754164, 0.030588715381188902, 0.032322491781777596, 0.03154706326611756, 0.032598263261529925]"
251,"[0.03276157525488865, 0.031622914846691996, 0.033671956837914796, 0.0325543521350119, 0.031185189178705608]"
252,"[0.03316829259242482, 0.033430915771268, 0.032088831213084035, 0.03302871176725808, 0.030036131299185698]"
253,"[0.03413144546528968, 0.032696676401311464, 0.03206449137152234, 0.03244023440302435, 0.030307976177954554]"
