,imv
87,"[0.11115738362281888, 0.0967120053449413, 0.1428065516436718, 0.08680226411922219, 0.12208478892851696, 0.0935474581566246, 0.1280051164509485, 0.09175223509035998, 0.09506801696956611, 0.1173223634262304]"
88,"[0.12901426135028007, 0.10179692999940881, 0.12100547638734627, 0.037594505974991185, 0.09847495316519549, 0.1263152768291191, 0.10050360005471358, 0.1120878393214813, 0.1287287857935803, 0.12213198724568587]"
89,"[0.10381951258589797, 0.09303127297939275, 0.13101584840552896, 0.12844552911998447, 0.09106116084192505, 0.1518431769093679, 0.10507334550780441, 0.084300255236764, 0.09735580486430688, 0.09612462573882684]"
90,"[0.12144779237885861, 0.1240107578079469, 0.07641293685134083, 0.13925836958353302, 0.13700696424140255, 0.1325632474020404, 0.07863765229000855, 0.12405102031315698, 0.1069065630652838, 0.030883933278141207]"
91,"[0.12732382038780982, 0.09695207832108169, 0.1043945478497266, 0.08023944877636624, 0.12581441915170452, 0.1363685910113552, 0.1307449627681393, 0.11039797727963566, 0.11752992250331097, 0.048981168805556065]"
92,"[0.08903427485563384, 0.10154695305826064, 0.12959304590261544, 0.10446647035628383, 0.08824698756650634, 0.1053750650793786, 0.08886968551294397, 0.12215506581015334, 0.10278491810956858, 0.1501685488442571]"
93,"[0.11105059539794902, 0.06990344981507944, 0.11303896557117683, 0.11553288434138963, 0.12240103071858437, 0.1061847951986556, 0.09226686970656957, 0.13146494845880294, 0.12050535992626064, 0.10696357321538946]"
94,"[0.13713781175638073, 0.0901865479927001, 0.08267479902893657, 0.09907431630665539, 0.09849813539227524, 0.1308203992877316, 0.11539174190189466, 0.10547172381700096, 0.14090724951222572, 0.08269169723403069]"
95,"[0.11165886904419392, 0.14180197687519458, 0.10858803431966685, 0.11857242437380049, 0.1262261136187336, 0.0766856759034486, 0.06427446094956543, 0.10044275209641026, 0.09283640574027796, 0.13884779961754792]"
96,"[0.11281082041075259, 0.10758842442199011, 0.07209426691031398, 0.10449648172763693, 0.10719841935388327, 0.09108864759939977, 0.0977398013967783, 0.13982781522996746, 0.124673920112277, 0.12686543092107505]"
97,"[0.13164593165018432, 0.10476984709907973, 0.10802430757553622, 0.0999240960383401, 0.12587309523812512, 0.09586221131215804, 0.10269049913503274, 0.05806739641280162, 0.09797774601146526, 0.14890957968534385]"
98,"[0.1276110165525613, 0.10460710575774484, 0.11564997527071645, 0.10456342953755039, 0.13889706189015735, 0.10738922596539277, 0.0609119271497084, 0.09082325074175188, 0.13858345949168177, 0.09339171750296642]"
99,"[0.09682646076449397, 0.11604547153305216, 0.0925433918358278, 0.11513128518067031, 0.10209935877721614, 0.10202451008277175, 0.14258515575000108, 0.13129051077528733, 0.11109137337078603, 0.07271195723767555]"
100,"[0.10919417194522428, 0.10674348296505287, 0.11301650345487249, 0.07723453847670696, 0.06126335720260397, 0.11342610687088858, 0.1395019620502603, 0.13940507033080365, 0.11885879702366824, 0.0978086369625469]"
101,"[0.12314307251276317, 0.11479220230868878, 0.12737170164445807, 0.12564507238665476, 0.07530245615521873, 0.109592691966675, 0.09447643686006192, 0.09276866593015104, 0.11442829049751677, 0.10906072637186552]"
102,"[0.12668686297103604, 0.08540174712129489, 0.08628287985371794, 0.11204992418953905, 0.13824693316326214, 0.0957591493835131, 0.13540430190272984, 0.07794979960461061, 0.11092211190525422, 0.11266139644421437]"
103,"[0.1305404589222476, 0.13823881508167288, 0.08991634257994528, 0.06434981967987106, 0.08738487915300412, 0.10725129158654294, 0.13788350997853085, 0.0981755046084929, 0.09662852471571583, 0.12524961987262168]"
104,"[0.10492285209347822, 0.10346457858980657, 0.07128464666648024, 0.11593867008765772, 0.12160990968767434, 0.13330364374805115, 0.11133124044187365, 0.11018423145177679, 0.12092952419409954, 0.09632660292576457]"
105,"[0.12018183835474096, 0.11312776428551787, 0.1389135489289432, 0.0939265880088421, 0.11707342345116906, 0.0942669590272415, 0.128390646761737, 0.04765915828886871, 0.09577799207047782, 0.12742135657872813]"
106,"[0.1346704372250857, 0.11298297027493283, 0.0772704796459013, 0.09450325345093795, 0.1252106270410387, 0.1474407517035903, 0.0878387962510404, 0.11402391258909297, 0.07163129385741117, 0.10820910964986401]"
107,"[0.08095106700107574, 0.12231231768266859, 0.14010973666209367, 0.14520884332116224, 0.09716838580313583, 0.09189712368296868, 0.10373559883795287, 0.11800211761434218, 0.07634813138620856, 0.10428066644474993]"
108,"[0.08659001234012983, 0.11746846895797564, 0.09592660516893059, 0.13025787950022963, 0.12322984207263643, 0.10067316878671186, 0.11346060439763223, 0.09537178914220137, 0.09118314260371538, 0.12687641820348985]"
109,"[0.12013002402303057, 0.10893604757976612, 0.09659539692342112, 0.12207988297277396, 0.071634827853993, 0.12078630692891242, 0.09721694714351621, 0.11118531034712478, 0.10586579040082024, 0.1268125690229573]"
110,"[0.10592662259426387, 0.11204038880597214, 0.10874194078068179, 0.12234060548613825, 0.12036859830997337, 0.10107704454583354, 0.11312804508182135, 0.08890747073923502, 0.09939859142570084, 0.11999548522257075]"
111,"[0.14123295803410787, 0.12174244889540382, 0.09237549928685719, 0.13240827537065922, 0.13233577921916517, 0.09502929505731084, 0.09643933348683016, 0.11991344772926678, 0.07469541577319658, 0.06391851651033906]"
112,"[0.11594088647346781, 0.07200722793898036, 0.13091553899723704, 0.1608878042639412, 0.08154981600563894, 0.09627907055878289, 0.10807024799612548, 0.11688586485012213, 0.10644238658980681, 0.0909452088070508]"
113,"[0.09579768004917448, 0.11309507517612703, 0.10895548157658705, 0.09686889393145676, 0.1457904807433351, 0.1272621873532273, 0.11490265700986498, 0.1261294903471699, 0.14274593660012122, -0.015582826982156388]"
114,"[0.13126115969191296, 0.11012335063291026, 0.10626182885960155, 0.12842082183054343, 0.07731419054543072, 0.11183319403974609, 0.11555278111204087, 0.1272623283334594, 0.056204020620342424, 0.11589574065442554]"
115,"[0.10316051325635026, 0.10605903304217291, 0.11748803041884462, 0.12677089886445259, 0.07803247871632646, 0.07437298416719333, 0.11445625368040314, 0.11837390344221463, 0.08833761634557848, 0.15426317930190925]"
