,roc_auc
58,"[0.6984200326725419, 0.699316520066487, 0.7055895257193441, 0.701906632820914, 0.6914030458090203, 0.694520921752765, 0.6979656284394247, 0.7039025648150598, 0.6925928679738736, 0.6955765910186146]"
59,"[0.6988260923593026, 0.7027026494518376, 0.6962843513901539, 0.7073905269095214, 0.6899122051416224, 0.6903263003103112, 0.6993602884739827, 0.695846526580766, 0.7040873329393033, 0.6968663911895773]"
60,"[0.7047867583756371, 0.7033467273770176, 0.6978188333500792, 0.6982873564243242, 0.6951986125074338, 0.7084735872982657, 0.6956893761613201, 0.6990758414933728, 0.684268748677524, 0.6942990210262066]"
61,"[0.6973469871273759, 0.6927039040765752, 0.707594106071158, 0.6863425399012524, 0.7085741125391307, 0.6893988286428303, 0.6987119794362847, 0.6986575742298301, 0.696161995577117, 0.7063955622862966]"
62,"[0.6952796482997583, 0.699719769604483, 0.707739725347046, 0.6963966710841539, 0.7042336493695942, 0.6911294126803609, 0.6928243409692686, 0.7056064501694161, 0.6977418548918245, 0.6906828982920005]"
63,"[0.6917709301468927, 0.689894649656529, 0.7082241287126945, 0.7007337066893654, 0.6923995182052151, 0.6955064985802438, 0.7071605214539286, 0.7014604910607398, 0.6989228732332592, 0.6961139059518979]"
64,"[0.7002712397353983, 0.7051283344548808, 0.6939653930225033, 0.6973820436197193, 0.6980717558185379, 0.6998252659485749, 0.696192020524927, 0.6993142819350798, 0.6982584607221708, 0.6931037560935626]"
65,"[0.696581478088857, 0.6979072508902088, 0.6947295219556513, 0.6987530239516017, 0.6977360905853225, 0.7074701962159363, 0.6996323417451784, 0.7045346848535743, 0.689627542423869, 0.6945396281037496]"
66,"[0.6966888629981929, 0.7048226728940169, 0.6956770550890305, 0.6912715362946193, 0.696245118263136, 0.7059207419286672, 0.6990659537647632, 0.6958498633486851, 0.6964173261002129, 0.6999065874130509]"
67,"[0.6985263779630295, 0.7036545771312653, 0.6891739577239948, 0.6997246998493271, 0.709725937585933, 0.687325025111108, 0.6961311369949067, 0.7025394247528326, 0.6911865836403611, 0.7035323335220648]"
68,"[0.7008755896931479, 0.6914433957318316, 0.6940742533734361, 0.7036878721733331, 0.6999387977745946, 0.6968421954287677, 0.6968417142078163, 0.6916207392719642, 0.7051748605805058, 0.7009171098899118]"
69,"[0.7070296066559868, 0.6966805324279455, 0.7068178739770945, 0.6927245874978544, 0.698936192081177, 0.6943340218909045, 0.6935522421364365, 0.7110760756028259, 0.6922664225729512, 0.6887510795982347]"
70,"[0.6991233053145914, 0.7020357543898382, 0.6985087180620692, 0.7036151896503574, 0.6912122780202657, 0.6994361034729644, 0.6936133617371125, 0.7023341204594827, 0.7009277550954567, 0.690711100820342]"
71,"[0.6996792562481411, 0.7017845025752494, 0.6972389757228388, 0.7107325837194164, 0.7017433990422686, 0.6920542966502718, 0.6910350525154608, 0.6952985793504022, 0.6974686673089152, 0.6947269501144597]"
72,"[0.6896761889639547, 0.6935750093352325, 0.6990008073434826, 0.6948488556720125, 0.70157753216785, 0.7048063840187865, 0.705544004941213, 0.6925103215992356, 0.7080931319604385, 0.691768931789592]"
73,"[0.7031638588755821, 0.6990299529897978, 0.703006263553747, 0.6954665118430564, 0.6916077735451923, 0.6941349189920822, 0.7005753350582592, 0.7001409151140949, 0.7000742675662603, 0.6941723775953955]"
74,"[0.6963817850133959, 0.7025549645577137, 0.704001128853556, 0.6977572552275533, 0.6954253810711539, 0.6958757766429478, 0.7007957660328429, 0.6986976018254, 0.6915951251934304, 0.698341401587727]"
75,"[0.7009805684977257, 0.6936557863578001, 0.6959745131946153, 0.6997395269024211, 0.6924656225285786, 0.6999401370215825, 0.6972566220043384, 0.6970312153867075, 0.7013124085166295, 0.7037917150363493]"
76,"[0.7049517717638395, 0.6929507613451154, 0.6961009381102824, 0.7048339498076378, 0.696907886628484, 0.6947097737373538, 0.6928091915889332, 0.7013196295165242, 0.6993815389900817, 0.6969107568094438]"
77,"[0.6878737940489458, 0.699851124764994, 0.6983093700129507, 0.7014885925483862, 0.6984061680613509, 0.6996274251197955, 0.7025955096927978, 0.6949117912008076, 0.6993261648470753, 0.6997010495664023]"
78,"[0.6927234616224203, 0.7054126497807022, 0.7020819879197561, 0.6978496133317017, 0.6952070066351654, 0.7010033266168809, 0.6970137370785592, 0.6847656877984829, 0.7005144904136473, 0.7049295712474525]"
79,"[0.6938816696565621, 0.6927813897294265, 0.7024646402930589, 0.7061504250570189, 0.7010248135863529, 0.6979031014944562, 0.6937766499936016, 0.6997803852851058, 0.6937245886590848, 0.6999647772674216]"
80,"[0.7001637140916331, 0.7017416784503756, 0.6903747674318158, 0.70730329880231, 0.6896035926975648, 0.6972537891564722, 0.6928424412327979, 0.7026510135357648, 0.696991399691209, 0.7027286750010755]"
81,"[0.6938922201989354, 0.6998459493698539, 0.7001640818170773, 0.7008182154442181, 0.698858529375334, 0.6986015528473489, 0.7014817328799156, 0.6992537343517615, 0.6958199774757623, 0.6930662980494786]"
82,"[0.6952119051012672, 0.7014052142087878, 0.6968436073128805, 0.6949243120251904, 0.7006052388545642, 0.7073935867484026, 0.7024598144640817, 0.6971147435403758, 0.6901527452568162, 0.6956808858758395]"
83,"[0.6982842421075995, 0.6891916948019002, 0.7032217552038462, 0.6900203255018467, 0.7024506894252821, 0.6987339839452704, 0.7038580745761364, 0.7017341332690398, 0.6994523904626515, 0.6946281186455753]"
84,"[0.6992287063224569, 0.7015800154495533, 0.6924155891690711, 0.693538795188713, 0.7020167280029681, 0.6909661562026138, 0.7037275365832794, 0.6980678379536205, 0.7015325471891425, 0.6984039694191221]"
85,"[0.6972243711209392, 0.700747430566127, 0.7123029393393389, 0.6883696876997691, 0.7065279928315874, 0.6982939028451943, 0.6944201922199864, 0.6889677817851478, 0.700583393595612, 0.6937023309148977]"
