,roc_auc
69,"[0.6863472749338234, 0.6722993911973866, 0.6792869237068128, 0.6692756983655505, 0.6698419955495597, 0.6749062831276363, 0.6711660477590184, 0.6864830473394847, 0.667190655413316, 0.6634841755931378]"
70,"[0.6768988193361988, 0.677966221884734, 0.6747531595287949, 0.6817958009168221, 0.6678862909030772, 0.6712272626959206, 0.6683619369553703, 0.6750024092826323, 0.6762779505675893, 0.6700135831732799]"
71,"[0.6766387466507703, 0.6758620060968333, 0.6749735995830194, 0.6859324352346059, 0.6755791480533276, 0.6695867577727489, 0.668118411914929, 0.6683274070821813, 0.6766022206044092, 0.6687032192264184]"
72,"[0.6692040600012432, 0.6724474892151574, 0.6810860272521054, 0.6690690003473688, 0.6821163394688036, 0.6782525619704084, 0.6739447264893557, 0.6677150988194488, 0.6766947848447732, 0.6695452804172397]"
73,"[0.676701051144544, 0.6736629807018232, 0.6771428619161539, 0.673987632330995, 0.6716446628537867, 0.6686498977568912, 0.6739612832139835, 0.678641329481653, 0.676493479648111, 0.6694513628188331]"
74,"[0.6713427284853873, 0.676824157451573, 0.6801489674841545, 0.6700071269730898, 0.6700533105649844, 0.6732388888488376, 0.6818474459125354, 0.6751778007000367, 0.6626030623022825, 0.6787634016961409]"
75,"[0.6817066206868826, 0.6737190338630463, 0.6698670281186846, 0.6747910080106219, 0.6706909964231846, 0.670250166252759, 0.6720942230986456, 0.6720663758409359, 0.672541324469934, 0.6824733784481746]"
76,"[0.6798389840143667, 0.6619015819984432, 0.6748750310047028, 0.6831891489433141, 0.6778463751686793, 0.6719069146529583, 0.6693665401697192, 0.6747430811277327, 0.6728569793382736, 0.6735652806148845]"
77,"[0.6700485119749291, 0.678912157001368, 0.6753341021730868, 0.6776649548699188, 0.6716277838019175, 0.6715972171918492, 0.6777545028253025, 0.6752301993059195, 0.6736132748692348, 0.6684695424320074]"
78,"[0.6711847018806242, 0.6787556784753265, 0.6752356243911761, 0.6696574609340744, 0.6757538630375077, 0.6763512579905605, 0.6728422946873988, 0.6666068696669708, 0.6739741673196693, 0.6800295362672344]"
79,"[0.6658398851868551, 0.6694228566405197, 0.679310426356497, 0.685107831355264, 0.6785214328275748, 0.6716031234980572, 0.6670096652229373, 0.6748051994888744, 0.6695867531207529, 0.6791691593281357]"
80,"[0.6729929213850759, 0.6762958858023822, 0.6690646602791638, 0.6858353738766283, 0.6635154608755653, 0.6718358755449305, 0.6702309128748741, 0.6762987640484514, 0.6765980560764723, 0.6773666726153867]"
81,"[0.673013041868638, 0.6773620399003354, 0.6792892208558837, 0.6713191622782192, 0.672725185482984, 0.6705289611570979, 0.6780736113338903, 0.6758831253408611, 0.671322166863924, 0.6710117119786683]"
82,"[0.6669843375654931, 0.6827684528759118, 0.6737074073832622, 0.669183494615292, 0.6753438582469078, 0.6810617210542284, 0.6767418641290257, 0.6740453833850094, 0.6663580313970346, 0.6739464325627319]"
83,"[0.6702142244954576, 0.6624538647571917, 0.6812730633085748, 0.6721868490521918, 0.6819797771344106, 0.6717212087638362, 0.6787810787698954, 0.6744499857894546, 0.6786775906215812, 0.6686450248305779]"
84,"[0.6741926188369238, 0.6734197598293419, 0.6670702899832007, 0.6718806790314542, 0.6746783432902791, 0.6673449354917866, 0.6807652390100075, 0.676157602876096, 0.6794918852651753, 0.6748642636380705]"
85,"[0.6735528809799489, 0.6741084641880543, 0.6943491758110601, 0.6624773129290324, 0.6796368666748662, 0.6718539440297179, 0.6743139546140364, 0.6663312344775599, 0.6753923230556115, 0.6682527916960712]"
86,"[0.6730940776609625, 0.6690210416857376, 0.678561396865661, 0.672865797337083, 0.6777099172501531, 0.6758206301746347, 0.679001782133697, 0.6757148387422236, 0.6651667311676505, 0.6730411314029638]"
87,"[0.6654585266623374, 0.6783620805952844, 0.6810052865481002, 0.6709027291020767, 0.6790136492239568, 0.6735686613953058, 0.6780714866979906, 0.6725150508208368, 0.674710525797584, 0.6665926482757238]"
88,"[0.6754836801722749, 0.6825532381548507, 0.6733450071483101, 0.6684238374051377, 0.6779776803911669, 0.6765056209603431, 0.6767166545069093, 0.6707863281096285, 0.6685038078227219, 0.6698098846219579]"
89,"[0.6710354552883178, 0.6654475357573951, 0.6729347072693909, 0.6715990558190699, 0.6716131928194788, 0.6713329088540823, 0.6698641317133341, 0.6829015059292143, 0.6857034217396459, 0.677253630887053]"
90,"[0.675202978543411, 0.6797581479741351, 0.6746187626886843, 0.6803528099553683, 0.6713359051354791, 0.6784504254982893, 0.6761237585157722, 0.6712224958846076, 0.6574211678931301, 0.6758950365294043]"
91,"[0.6776635656849075, 0.6765946150576506, 0.6753495148629993, 0.6710558300018165, 0.6629785908067296, 0.6706262722051918, 0.6802084618291636, 0.6722242253927078, 0.6684190185788993, 0.6850454626573457]"
92,"[0.673613864386016, 0.6790440977986975, 0.6679747583812301, 0.6747605094978579, 0.6731362480517133, 0.6776180085882143, 0.6761775780854083, 0.6667367766248067, 0.6767947789299628, 0.6746299010816982]"
93,"[0.6836214397117584, 0.67440517322329, 0.6704599331894621, 0.673599559412256, 0.6759678883256505, 0.6702589054068333, 0.6665721173425876, 0.6816956343217605, 0.6622288724278567, 0.6812665736404074]"
94,"[0.6750942089888841, 0.6728681217250759, 0.6582089194067312, 0.6753824694185446, 0.6840786359343594, 0.6707880350820606, 0.671885146214628, 0.6761831529847347, 0.6729137522540224, 0.6823986985164435]"
95,"[0.6802758327623906, 0.6667329677155766, 0.6777233823571579, 0.6830174166210703, 0.6723389738905674, 0.6731751225329279, 0.6706958721901849, 0.6783993116615507, 0.6708484370513027, 0.6668890745603276]"
96,"[0.6682406420366404, 0.6712723067929203, 0.6698395894448015, 0.685119108268885, 0.6818087530241334, 0.6713224491081152, 0.6803544261313945, 0.6657718741389663, 0.6736943582735846, 0.6729529133493348]"
97,"[0.6639265688424979, 0.6805445265665654, 0.6765824029410482, 0.6759262672531557, 0.6730418742673524, 0.6697177452078158, 0.6762008265051561, 0.6731242992446883, 0.6781100658302417, 0.6728677062902774]"
98,"[0.6749592492110564, 0.6713017702266563, 0.6770496276266879, 0.6773163148302909, 0.6727117566945415, 0.6660987820588263, 0.684342031768246, 0.6770224885809447, 0.6664428660555568, 0.6727245773235758]"
99,"[0.6656594863476617, 0.668407058229315, 0.6729887220513, 0.6694149255744584, 0.6825203426169693, 0.6795518176813979, 0.6717595475462553, 0.6700057650270004, 0.6821321096893606, 0.6781351937834326]"
100,"[0.6704762583832549, 0.6760267107772555, 0.6728525138228902, 0.6773055736154652, 0.6781082274636647, 0.6838143684549751, 0.6671277096303335, 0.6713787610390951, 0.6716373993755589, 0.6713852206326028]"
101,"[0.6772303669524037, 0.6675401523044338, 0.6679569350467389, 0.6681062588159906, 0.6633881688542214, 0.6729143325558923, 0.6852835178609878, 0.6796300478647782, 0.6719764382726311, 0.6860784290786613]"
102,"[0.6774908845402212, 0.6722791753775981, 0.6751191916199857, 0.6673041315869455, 0.6691388954206814, 0.6761286161234915, 0.6747386230241997, 0.682858645485778, 0.6724635835874618, 0.6727455362073597]"
103,"[0.6744872758733849, 0.6767337287710514, 0.6751871527298513, 0.6710088383219087, 0.6729383799840123, 0.6792827425323179, 0.6736509592576734, 0.6623986968609267, 0.677703122874592, 0.6762722510228117]"
104,"[0.6678622616342383, 0.6786156386385849, 0.6668691668643457, 0.6810351631054833, 0.6765518681097219, 0.6770443841342432, 0.673796315223984, 0.6710249819228896, 0.6747526706386484, 0.672778870596736]"
105,"[0.6801913830252015, 0.6704000484199073, 0.6705468979870963, 0.677858818816117, 0.6840278081062995, 0.6697714830606865, 0.6661751509158842, 0.6643534163664043, 0.6793294414268092, 0.6775543488607522]"
106,"[0.6793232604284802, 0.666453065095085, 0.6700410439705388, 0.6726480630157565, 0.6668825275554835, 0.6701591292363174, 0.6786244322705027, 0.6767973861312739, 0.6848867337413924, 0.6744703365352757]"
107,"[0.6675114243215859, 0.6800931322343059, 0.6822771853019722, 0.6734701563744733, 0.6726665900223939, 0.6719360466798124, 0.6610702183266771, 0.6779674884945972, 0.6762543712556488, 0.6768524101835306]"
108,"[0.6729317927047594, 0.6717966787364749, 0.667867432489558, 0.6744347092941507, 0.6775234259721195, 0.6663774362287357, 0.6822905959311335, 0.684708449744162, 0.6733902160315487, 0.6686269906534369]"
109,"[0.6709495482688131, 0.6814200626898338, 0.6709586188297691, 0.6729740039538932, 0.6741226647459473, 0.6793724039832093, 0.671877156130903, 0.6746677882080856, 0.6744651501766014, 0.669742189470998]"
110,"[0.6648684544394258, 0.6765010448214823, 0.6760862596001082, 0.6723772536553226, 0.6732889993852902, 0.6782527571826812, 0.6754554016316368, 0.6708508480357078, 0.6766718095483353, 0.6758953135590708]"
111,"[0.678371341828693, 0.6682178748378443, 0.674127985415337, 0.6780766484736698, 0.6756495606661542, 0.6719102922792601, 0.6695919831059123, 0.6745425618049774, 0.6682803447942112, 0.6816794704631515]"
112,"[0.6834024342407483, 0.6763194202308086, 0.6709990867879082, 0.6704848931214623, 0.6661551893260327, 0.6715057988305022, 0.6754222881823809, 0.6758285385415944, 0.6741032631442494, 0.6759348743037382]"
113,"[0.6794224282630763, 0.6786247591375644, 0.6694790278370703, 0.6684097276436505, 0.6758059075374074, 0.6741153556352671, 0.6761027618468927, 0.6803159420747259, 0.6698210384721361, 0.6679399389146861]"
114,"[0.6627304805477872, 0.6772386929828307, 0.6823238137962561, 0.6760364169130532, 0.6727441165336278, 0.68371734341556, 0.6679424984181904, 0.6665564277236365, 0.680304881048366, 0.6709513830919548]"
115,"[0.6742697458439716, 0.68053729009301, 0.6714801079874342, 0.6625043884172914, 0.668369604711854, 0.6777550703028401, 0.6792052114812637, 0.6737087330107894, 0.6754025095726919, 0.6770598054913854]"
116,"[0.6781424940272763, 0.6621034859663895, 0.6707811254755667, 0.6700516399111147, 0.6816243682227179, 0.681889244038022, 0.6796148803251615, 0.6698110248954846, 0.6817581786787215, 0.6643047374652523]"
117,"[0.6684164102591295, 0.673506266105126, 0.68027704489441, 0.6758341406798425, 0.6727650087866406, 0.6676903068607999, 0.6779280011376427, 0.6755699412977628, 0.6695601855215904, 0.6788775333772609]"
118,"[0.6755630362310892, 0.6757731845126973, 0.6760232241952665, 0.662880067626616, 0.672968360957262, 0.671373127122105, 0.6699647976886286, 0.6787214618497381, 0.678295639375024, 0.6785316414020455]"
119,"[0.6683402229948835, 0.672682588349125, 0.6741714178761307, 0.669962291707824, 0.671851224677359, 0.6681952529132981, 0.6908344696352212, 0.6788206342241545, 0.6738623063735207, 0.6715760077848785]"
120,"[0.6699874967901203, 0.682769356300151, 0.6710443987343053, 0.6718167719811153, 0.6763386917679748, 0.6829945223073058, 0.6753090741437822, 0.6659066523239822, 0.674268336493712, 0.669848032969473]"
121,"[0.6700682420339457, 0.676138653666171, 0.6762596126381988, 0.6695232547664164, 0.6820714270265925, 0.6750627071758344, 0.678059333599052, 0.6729593448741497, 0.6702247887744164, 0.6698495225716142]"
122,"[0.6845839133937391, 0.6675541667296946, 0.6673513411782275, 0.6806975548291803, 0.6792329089249036, 0.6692214883713683, 0.6693386202748847, 0.6628448930989448, 0.6789947850482312, 0.6804763260801577]"
123,"[0.663962792068658, 0.680729251854503, 0.6819581312712284, 0.6763492650094495, 0.667905553360603, 0.6683929757067497, 0.6679984063051639, 0.681528105873113, 0.6730766865711422, 0.6784614484426174]"
124,"[0.6754249031188728, 0.6796925884292075, 0.6728793033024706, 0.6819195200995913, 0.6797515879338041, 0.6756650641524731, 0.6722941431651217, 0.668777157999493, 0.6705817528533511, 0.6630496432075886]"
125,"[0.6748148556866488, 0.6821014034600222, 0.6723585586753342, 0.671061559255033, 0.6672081370867382, 0.6650260043630579, 0.672118869783045, 0.6788824438775157, 0.6722941640512644, 0.6841640132977147]"
126,"[0.6739798465391835, 0.6794128901006294, 0.6771255061831536, 0.6734156512919721, 0.6719513004760146, 0.6775158717111431, 0.6686141285127608, 0.6694425957791765, 0.6815972607742561, 0.6672112146477448]"
127,"[0.6845456608679058, 0.6663321106628775, 0.6673615058358754, 0.6755364646628834, 0.6786332259024206, 0.6710460512288938, 0.6723960712104591, 0.6735660782375561, 0.6720609868185471, 0.6788224998445]"
