,roc_auc
125,"[0.6926938431520122, 0.7044679726681944, 0.6969826034960663, 0.699171776076708, 0.6974283637030348]"
126,"[0.6959227618822613, 0.7003007741584486, 0.7015923954125844, 0.6973480859769254, 0.6951391454120085]"
127,"[0.6995796490517386, 0.696028095808429, 0.7006332599217903, 0.697758881446684, 0.6969422677496026]"
128,"[0.7006463900878552, 0.7047181029086309, 0.6897503030360211, 0.7001130578498543, 0.6962711573984585]"
129,"[0.6930450112101081, 0.7055215406317807, 0.6999780311169831, 0.6916794112571995, 0.7011103375345104]"
130,"[0.705133471670423, 0.6932075508664642, 0.6955967003557807, 0.692622707564143, 0.704180737399531]"
131,"[0.6971292092269264, 0.6958026599695548, 0.6979967583682755, 0.7012480860043391, 0.6985484993996925]"
132,"[0.70175131551456, 0.6999185335887099, 0.701817611816757, 0.6914562598364787, 0.6951872522726541]"
133,"[0.7006555222722043, 0.6986282994333588, 0.6965283358779256, 0.6981942668188846, 0.6968651135281501]"
134,"[0.7093518638899914, 0.6909715907038475, 0.693853517499159, 0.6980619599188267, 0.6984882426916625]"
135,"[0.6999804298757283, 0.6927156235320872, 0.7005225624566513, 0.695965523379438, 0.7017697937888436]"
136,"[0.690331220483597, 0.7023940630009109, 0.6978980310715093, 0.7055877914528748, 0.6949719364774051]"
137,"[0.6936821140054505, 0.6984313878023848, 0.6953494992020683, 0.6999087101713554, 0.7036261688175107]"
138,"[0.7000468807645635, 0.6994471167980938, 0.6944993610112135, 0.6921392854264414, 0.7045763660132633]"
139,"[0.7039392360881407, 0.696279296172683, 0.6990313545015939, 0.6917074008158327, 0.6996932909317016]"
140,"[0.6959753529837345, 0.6978047305193021, 0.6929143665657608, 0.7035612548330179, 0.7004879420641194]"
141,"[0.696334695372018, 0.7037459437918191, 0.6971167782534949, 0.695961800527763, 0.6977524614538904]"
142,"[0.6989017700846943, 0.6952398702863837, 0.7036045141701087, 0.6908175078064971, 0.702083293408118]"
143,"[0.6963967509229076, 0.6985636843405029, 0.6987675141155976, 0.7009999623709642, 0.6958906132229271]"
144,"[0.6929079819242041, 0.7045812210756777, 0.6983057511628779, 0.6999618795606107, 0.694967912035843]"
145,"[0.7055348550283401, 0.6933167195694085, 0.7012440734925551, 0.6934485755929501, 0.6975948542810828]"
146,"[0.6995108274754962, 0.6973501233351671, 0.6992461509651318, 0.6946689333154522, 0.6997350767185586]"
147,"[0.6941532626909014, 0.7014072530466465, 0.6961843745858689, 0.70059189157999, 0.6978812118956395]"
148,"[0.6993891217472801, 0.6986191128910544, 0.6958380341323391, 0.697234949721955, 0.6992544309214158]"
149,"[0.7055124742587542, 0.6980172671454787, 0.6988349681845789, 0.6920002192168052, 0.6965201369606682]"
150,"[0.7016747002485356, 0.6948020896563184, 0.6955823991332517, 0.7038733081422589, 0.6944873975619669]"
151,"[0.6972558883680592, 0.698735825267643, 0.6912800117086043, 0.6986929981918027, 0.7047998103574374]"
152,"[0.6964677945974644, 0.7003094893352084, 0.695532306878367, 0.6968939640916776, 0.7010256506425222]"
153,"[0.7012623795430784, 0.6969330015384578, 0.6990774482458729, 0.6992040478878387, 0.6942101110803023]"
154,"[0.6982367800897838, 0.6970353258795353, 0.7004847440317092, 0.7012610777496218, 0.6937827826290942]"
155,"[0.6937633947585278, 0.7004336710982808, 0.6995850752108657, 0.6976633143356006, 0.6996126596017554]"
156,"[0.697806870365901, 0.6935491944724641, 0.698550597483121, 0.701797313334844, 0.6984838170838917]"
157,"[0.6965773916206669, 0.702897728089788, 0.6978898094632131, 0.6982931737649245, 0.6951676826539837]"
158,"[0.7018675050849783, 0.6976434372512486, 0.694315921264563, 0.6997095862295133, 0.6968212383537816]"
159,"[0.6983009778098836, 0.6939354521593093, 0.6995013608268364, 0.6977484420652261, 0.7012954523215799]"
160,"[0.7086395352733748, 0.6932744561953132, 0.6981593954569005, 0.6964970076478703, 0.6937903102646257]"
161,"[0.6934637340446657, 0.7045943204067604, 0.6924663923928306, 0.7036826987267192, 0.6964112430089772]"
162,"[0.6978992574511642, 0.7020250113240881, 0.6969660738019008, 0.6982457692606836, 0.6956636901201094]"
163,"[0.694031206471649, 0.7014735376129232, 0.7036945381600105, 0.6939671785038874, 0.6975703379833255]"
164,"[0.6954089247286687, 0.7051904234213361, 0.6936437929912409, 0.694601680020626, 0.7020765203572983]"
165,"[0.6966791006465368, 0.6958097284717986, 0.7015411385127462, 0.7007088837648808, 0.6960251244808804]"
166,"[0.7074106599120179, 0.6947522360895408, 0.698638119615325, 0.694941815666343, 0.694550688112497]"
167,"[0.7001451347325491, 0.7012242741975433, 0.6997696117655637, 0.6947668021465369, 0.6947358554369965]"
168,"[0.7046904856705158, 0.6974702288712706, 0.6978372506889977, 0.6963687865713769, 0.6944798444010771]"
169,"[0.6992804461469281, 0.6953669528630284, 0.6963071808843011, 0.6960974475132822, 0.7035264043602899]"
170,"[0.696157584351763, 0.6956623107969002, 0.6965390645239714, 0.6995034555744437, 0.7025209480207644]"
171,"[0.7013301538260955, 0.7023622903197322, 0.6940463130144604, 0.6950006813349779, 0.6974238006269441]"
172,"[0.695271239955767, 0.700159675095565, 0.6922778275869312, 0.7046504470881295, 0.6985418860298406]"
173,"[0.6977793386203801, 0.6983987326649603, 0.6999826020798718, 0.6963434306571445, 0.6980887693529112]"
174,"[0.6971468962439122, 0.6959651781475578, 0.6975344612785028, 0.6983274429841089, 0.7019392929280102]"
175,"[0.6971193605722457, 0.6971546480096167, 0.6999596725331018, 0.7024793497552018, 0.693987243927796]"
176,"[0.7010706995602431, 0.703646542958319, 0.7017235227586384, 0.6947517893564573, 0.6901522993917417]"
177,"[0.6987256511397701, 0.6977428429363862, 0.7018622387905975, 0.6945657679339747, 0.6975975844451334]"
178,"[0.6894528644593955, 0.6999159496173923, 0.7029207381538409, 0.7018869441068077, 0.6962795604275249]"
179,"[0.6964315960229011, 0.7032049723446204, 0.696564066144079, 0.6976531075337543, 0.6965396336079511]"
180,"[0.697052625163397, 0.6958506369143922, 0.6957250610814543, 0.7021187876706223, 0.699591371643839]"
181,"[0.6982756709428808, 0.6962493808555514, 0.7004416337218428, 0.7003857989537455, 0.6954030297819069]"
182,"[0.6941426415325426, 0.6957835046178893, 0.7050554295596343, 0.6961003577788799, 0.6998663965835579]"
183,"[0.7022678163100271, 0.6955161759094706, 0.6958734927144973, 0.6952831754117431, 0.7022189146649065]"
184,"[0.6953254439106314, 0.6960135451147607, 0.6963579609781385, 0.7023627848195921, 0.7005733547767965]"
185,"[0.6956448988065245, 0.7065877103688569, 0.693042656965002, 0.6969770590529597, 0.6989986509082332]"
