,roc_auc
70,"[0.6744284051141527, 0.6716783460943498, 0.6840733692401486, 0.6727442838242952, 0.6790829038826751, 0.674945817193069, 0.672201184511527, 0.6643068911852157, 0.6725410244222219, 0.6740823871338623]"
71,"[0.6773824126295886, 0.6815048272046669, 0.6697388485224057, 0.6787330243027236, 0.6608904643212753, 0.6798633484734723, 0.6827136745978475, 0.6753539365461478, 0.669380303599473, 0.6645886136266477]"
72,"[0.677842128913076, 0.6740901444071488, 0.6786320939713169, 0.672835174999973, 0.6775842138657264, 0.6686424996960064, 0.6761489525354161, 0.6762977148299895, 0.6636362658716723, 0.6747316973034463]"
73,"[0.6761061870084646, 0.6810660378865284, 0.6803630155423179, 0.6729215045573069, 0.6708990011721205, 0.6778394499249889, 0.6666976049117915, 0.6643317208487022, 0.6700040506805677, 0.6789863542090149]"
74,"[0.6730096545699332, 0.6761429321977027, 0.6637341600457155, 0.6697671951042978, 0.6697843331434918, 0.6811607979619678, 0.6724908553389788, 0.67888078100384, 0.6772750062596519, 0.6779797770972683]"
75,"[0.6669181760524333, 0.6737025817357576, 0.6661887233453714, 0.6781791033408018, 0.6674761421351878, 0.6759269209849672, 0.676256089771772, 0.6786807000006904, 0.6773983346357338, 0.6798297848456785]"
76,"[0.6781968885734189, 0.6725368560083337, 0.674091191034214, 0.6715733727213649, 0.6747545716780281, 0.673137636989957, 0.6749373980145635, 0.6773275766992989, 0.6762816232875305, 0.6677244649587244]"
77,"[0.6804034467253601, 0.67884660808014, 0.6797888242919351, 0.6711286571383602, 0.6651147980205597, 0.6767382046692343, 0.6754455932502522, 0.6609736994071579, 0.6779940978250945, 0.6735324148568071]"
78,"[0.669466403803347, 0.6734250167506024, 0.691438255396217, 0.6814229232033993, 0.668516491359152, 0.6704092407839, 0.6663389987495761, 0.6767165952392185, 0.6710445650319826, 0.6704535766582542]"
79,"[0.6734993367774397, 0.6763149719765623, 0.6799608533052547, 0.6697549884436884, 0.6634675028935805, 0.6686058977245394, 0.6750710109778149, 0.6769719639402286, 0.6732291035285373, 0.6828697591819703]"
80,"[0.6765154548122381, 0.6657139502635996, 0.6762441958882168, 0.6834637888745098, 0.6765645093434054, 0.6720876270530204, 0.6757579706190862, 0.6683035068094104, 0.6803239707642919, 0.6654558951014241]"
81,"[0.6743410381967464, 0.6765040204503586, 0.677311334935447, 0.6701056824573175, 0.6780828268021407, 0.6641405448009512, 0.672151629971157, 0.6800727368226708, 0.6724395233083946, 0.6746203642152628]"
82,"[0.6773954721981331, 0.6671423318284335, 0.66933401023555, 0.6764532660125379, 0.676235177208488, 0.67836397210138, 0.6758071695315896, 0.6753188771695954, 0.6755333491830444, 0.669351889072725]"
83,"[0.6753490680136492, 0.6704581967463734, 0.680978510026504, 0.6676561249376989, 0.6743289736966699, 0.6759386511696973, 0.6800766526177284, 0.6742611652339602, 0.6724230595281443, 0.6688671293090898]"
84,"[0.6798444773490501, 0.6667317134705905, 0.667231155735187, 0.6743793749558579, 0.6764948770288401, 0.6796216722047058, 0.6748416835535219, 0.6654020416642862, 0.6788512454550384, 0.6771905701611384]"
85,"[0.6821903179467635, 0.6747848453484998, 0.6710496023270146, 0.6739571809250705, 0.6698164887847611, 0.6755081139397799, 0.6649447713397861, 0.673015226526524, 0.6808653801582463, 0.6732155245655127]"
86,"[0.6716475502359176, 0.6624439446542199, 0.6718019913066029, 0.676511086491183, 0.6757588648861477, 0.6730728628600293, 0.676897892746966, 0.6736074150227926, 0.6818367606754477, 0.6759746500858107]"
87,"[0.680022879505816, 0.6682275685078275, 0.6718703235918001, 0.6734995532569101, 0.6733439751626369, 0.6679116887342473, 0.6709987748075091, 0.6725203053866822, 0.6810528719533063, 0.6810909569865563]"
